PROJECT REFERENCE NUMBER|DESCRIPTION|CSC NO|DATE ISSUED|FLOOR AREA|COST|RESIDENTIAL UNITS
A0840-06113-2012-BP01|ADDITIONS & ALTERATIONS TO EXISTING 2-STOREY SINGLE-USER FACTORY BUILDING INVOLVING ADDITIONAL COLD ROOM AT 1ST STOREY, 2ND TO 4TH STOREY FACTORY WITH ANCILLARY OFFICE (JURONG WEST PLANNING AREA) ON LOT(S) 01960N  MK06 AT 7A CHIN BEE DRIVE|201444230|05/11/2014|1809|2386000|0
A0886-00215-2012-BP01|ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH ATTIC ROOF TERRACE ON LOT 9894V MK 18 AT 35 CACTUS CRESCENT|201444231|05/11/2014|748|1323950|0
E2343-00021-2012-BP01|COVERED LINKWAY FROM EXISTING SIDE GATE OF BEDOK TOWN SECONDARY SCHOOL LINK TO HDB BLK 541 AND 542 ON LOTS 04947V, 07014C MK28 AT BEDOK NORTH STREET 3|201444232|05/11/2014|178|149000|0
A1614-00326-2012-BP01|ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC & A PROVISION OF SWIMMING POOL ON LOT-02308C MK05 AT 51 FABER PARK SINGAPORE 129126 (CLEMENTI PLANNING AREA)|201444234|06/11/2014|1195|1600000|1
E2643-01351-2013-ST02|PROPOSED ONE TO ONE REPLACEMENT OF SRU2 VENT SUPPORT STEEL STRUCTURE & BASE WITHIN EXISTING OIL REFINERY COMPLEX ON LOT(S) 10X , 126N , 127X , 128L , 129C , 130X , 20T , 21A , 22K , 264X , 267M , 67K , 99998A , 99999K  & 9C  MK34 AT PULAU BUKOM BESAR|201444235|06/11/2014|0|0|0
E1439-01196-2014-BP01|ADDITIONS / ALTERATIONS INVOLVING THE ADDITION OF A SINGLE STOREY BUILDING TO THE EXISTING FACTORY ON LOT 4823M MK05 AT 9 TANJONG PENJURU CRESCENT|201444236|06/11/2014|209|288000|0
A1045-00017-2011-BP01|ADDITION OF COVERED LINKWAYS FROM BLK 161 TO BLK 162 AND FROM BLK 162 TO BLK 163 AND THE RELOCATION OF MOTORCYCLE LOTS AND CARPARK LOTS AT BEDOK SOUTH AVENUE 3 / BEDOK SOUTH ROAD ON LOT(S) 05924T , 05950C , 05951M  & 06442N PT  MK27 AT 161 TO 162 BEDOK SOUTH AVENUE 3|201444238|06/11/2014|147|170000|0
E3187-20101-2013-BP01|ADDITIONS AND ALTERATIONS TO EXISTING 2-STOREY SHOPHOUSE WITH SHOP AT 1ST STOREY AND RESIDENTIAL DWELLING UNIT ON 2ND-STOREY (TOTAL 1 UNIT) ON LOT 00632P MK 17 AT 11 RUBY LANE|201444240|06/11/2014|32|228000|0
A1982-00005-2013-BP01|ADDITION & ALTERATION WORKS TO THE EXISTING 2-STOREY RESTORED CONSERVATION SHOPHOUSE WITH ATTIC AND USE AS RESTAURANT ON 1ST STOREY & OFFICE ON 2ND STOREY & ATTIC AT 198 TELOK AYER STREET TS03 ON LOT 00480X (CHINATOWN - TELOK AYER CONSERVATION AREA)|201444241|06/11/2014|351|84400|0
A1324-20005-2013-BP01|EXTENSIONS & ALTERATIONS & ADDITIONS TO EXISTING SINGLE STOREY DETACHED DWELLING HOUSE ON LOT 103-2 MK 25 AT 4 GOODMAN ROAD|201444242|06/11/2014|540|1000000|1
A0930-00015-2007-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT BLOCK 1 TO 12 WITH COVERED LINKWAYS, DROP-OFF PORCHES & GENERAL LANDSCAPING WORKS (MAIN UPGRADING PROGRAMME) ON LOTS 3442M, 3445P, 3446T, 3447A, 3448K, 3449N, 3450A, 3811C, 4807N, 7065C, 7066M, 7067W & 7068V PT MK25 AT HAIG ROAD|201444243|06/11/2014|4217|38328235|0
A1283-00713-2014-BP01|ADDITIONS & ALTERATIONS TO THE ELEMENTARY SCHOOL GYMNASIUM AT BLOCK 2 AND GRANDSTAND OF BLOCK 6 AT THE EXISTING SINGAPORE AMERICAN SCHOOL MK 13 ON LOT 02985V AT NO.40 WOODLANDS STREET 41 (WOODLANDS PLANNING AREA)|201444245|06/11/2014|33|3000000|0
E2343-00005-2012-BP01|COVERED LINKWAY FROM EXISTING BUS SHELTER TO SERANGOON MRT EXIT D ON LOTS 08988X, 08989L AND 0991K MK 24 AT UPPER SERANGOON ROAD NEAR TO BLOCK 416|201444246|06/11/2014|109|91000|0
E3126-00935-2012-BP01|ADDITIONS AND ALTERATIONS TO THE EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 08089T MK18 AT 81 PEMIMPIN PLACE|201444251|07/11/2014|63|200000|0
A0768-00005-2012-BP01|RECONSTRUCTION OF THE EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH BASEMENT TO A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH A BASEMENT AND A NEW ATTIC ON LOT(S) 02150L  MK04 AT 32 MOUNT SINAI AVENUE|201444254|07/11/2014|657|1243000|1
A1413-00047-2009-BP01|COVERED LINKWAY FROM EXISTING SCHOOL SIDE GATE OF CANBERRA SECONDARY SCHOOL TO EXISTING BUS SHELTER ON LOT 05501P, 05268K,03629T, 03633A & 03632T MK 13 AT SEMBAWANG DRIVE|201444257|07/11/2014|423|285300|0
E3618-00007-2013-BP01|ADDITIONS AND ALTERATIONS TO THE EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH PROVISION OF NEW ATTIC ON LOT 02869L MK23 AT 69B LORONG MELAYU (BEDOK PLANNING AREA )|201444258|07/11/2014|265|500000|0
A0922-00001-2009-BP01|ERECTION OF A 6 STOREY TRANSIMISSION SUBSTATION ON LOT 01305X TS23 AT KAMPONG BAHRU ROAD|201444261|07/11/2014|4883|7300000|0
A0749-00291-2012-BP01|ADDITIONS & ALTERATIONS TO EXISTING 2-STOREY LIBRARY BUILDING INVOLVING ADDITION OF A 3RD STOREY ON LOT 02575M MK24 AT 40 LORONG 27 GEYLANG|201444262|07/11/2014|351|700000|0
A1308-00308-2012-BP01|ERECTION OF A SINGLE STOREY DETACHED FACTORY ON LOT 4577K (A3001339) MK07 AT 8 TUAS SOUTH STREET 13|201444264|07/11/2014|5452|4825000|0
A1848-00813-2009-BP01|ERECTION OF 1 BLOCK OF 12-STOREY WITH 3 BASEMENT CARPARKS FOR THENATIONAL HEART CENTRE SINGAPORE ON LOT 00467K TS22 AT 5 HOSPITAL DRIVE|201444265|07/11/2014|942|174808000|0
A1757-00600-2013-BP01|ADDITIONS & ALTERATIONS TO EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 00946W MK 20 AT 9 JALAN TARI PIRING SINGAPORE 799163 (SENGKANG PLANNING AREA)|201444267|10/11/2014|0|0|0
E3978-00133-2014-BP01|INSTALLATION OF 1 NO PASSENGER BOARDING BRIDGE TO THE COMPLETED 2-STOREY CRUISE TERMINAL BUILDING WITH 3-STOREY MULTI-STOREY CARPARKS ON LOT 307W (PLOT 2) TS 30 ON COMPLETED MARINE DECK AT MARINE COASTAL DRIVE (STRAITS VIEW PLANNING AREA)|201444268|10/11/2014|1000|1200000|0
A1409-00003-2011-BP01|NEW ERECTION OF A BLOCK OF 11-STOREY MULTIPLE USER CLEAN AND LIGHT INDUSTRIAL FACTORY DEVELOPMENT WITH ANCILLARY STAFF CANTEEN AND 66 FACTORY UNITS & 19 WAREHOUSE UNITS ON LOTS 3781K  & 3783X MK24 AT HOWARD ROAD|201444269|10/11/2014|0|0|0
E0388-14021-2014-BP01|ADDITIONS AND ALTERATIONS TO THE EXISTING POLYOLEFIN PLANT IN THE PETROCHEMICAL COMPLEX INVOLVING THE ADDITION OF GLS C4 LPG RECEIVING FACILITY PROJECT ON LOTS 1862X , 1863L , 2416L , 2465C , 2591V , 2977T , 2978A , 3030A , 3185L , 3186C , 3187M , 3204T , 367X , 368L , 402V , 403P , 404T , 405A , 406K , 407N , 408X , 409L , 668M , 669W  & 799X  MK34 AT 401 AYER MERBAU ROAD|201444298|11/11/2014|42|450000|0
A1037-00002-2005-BP01|6-STOREYS EXTENSION WITH 2 BASEMENTS TO EXISTING CENTREPOINT SHOPPING CENTRE ON LOTS 851, 853 AND 1119 PT (STATE LAND) TS 27 AT 176 ORCHARD ROAD (ORCHARD PLANNING AREA)|201444304|12/11/2014|8046|23254000|0
A0833-12515-2013-BP01|CONSTRUCTION OF DROP-OFF POINT ON LOT 07358N MK 17 (BATCH 45) AT BLOCK 6 LORONG 7 TOA PAYOH|201444305|12/11/2014|42|54780|0
A1533-00014-2012-BP01|NEW ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT(S) 2054W MK 18 AT 53 SELETAR HILLS DRIVE|201444306|12/11/2014|423|768000|1
A1479-00002-2008-BP01|ERECTION OF 1 BLOCK 29-STOREY HOTEL (TOTAL 386 GUESTROOMS) WITH 2 BASEMENT CARPARKS ON LOT 00754T TS03 AT TANJONG PAGAR ROAD/ GOPENG STREET|201444307|12/11/2014|28242|120000000|0
A0449-00502-2012-BP01|ERECTION OF A 3-STOREY CORNER TERRACE DWELLING HOUSE ON LOT 02261V MK 28 AT 37 SUNBIRD AVENUE|201444308|12/11/2014|449|805190|1
E2536-01125-2011-BP01|RECONSTRUCTION OF THE EXISTING 2-SOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH PROVISION OF AN ATTIC ON LOT 03732T MK 23 AT 60 LORONG MARICAN|201444310|12/11/2014|330|400000|1
A0414-00110-2012-BP01|RECONSTRUCTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 00876M MK10 AT 36 JALAN DERMAWAN (BUKIT BATOK PLANNING AREA)|201444312|12/11/2014|431|660000|1
E3198-00025-2012-BP01|ADDITIONS AND ALTERATIONS WITH ADDITIONAL OF 4-STOREY FACTORY, STORAGE AND ANCILLARY OFFICE TO EXISTING FACTORY ON LOT 00310T MK 07 AT 160 GUL CIRCLE|201444314|12/11/2014|3851|6500000|0
A0743-11545-2011-BP01|ERECTION OF A 6 STOREY SINGLE-USER LIGHT INDUSTRIAL DEVELOPMENT WITH SUBSTATION ON LOT 2372V MK 23 AT 105 EUNOS AVENUE 3 (GEYLANG PLANNING AREA)|201444319|12/11/2014|14137|10883667|0
A0965-00004-2013-BP01|ADDITIONS AND ALTERATIONS TO AN EXISTING 2-STOREY DETACHED DWELLING HOUSE ON LOT 02658K MK 22 AT 8 SURIN LANE|201444323|12/11/2014|396|587000|1
E2118-01613-2014-BP01|SHELTER TO OUTDOOR REFRESHMENT AREA (ORA) OF EXISTING EATING HOUSE ON LOT 01629A, MK 28 AT BLOCK 515 BEDOK NORTH AVENUE 2 (UNIT #01-181)|201444324|13/11/2014|140|135000|0
A1875-00010-2013-BP01|ADDITIONS AND ALTERATIONS TO EXISTING SINGLE-USER PHARMACEUTICAL PLANT INVOLVING EXISTING 2-STOREY BOILER HOUSE, EXISTING R&D BUILDING, EXISTING TANKFARM 1, EXISTING WASTE TANK PIT, EXISTING TRICKLING FILTER AREA, EXISTING STRIPPER AREA, AND NEW ERECTION OF 5 LEVEL  STRIPPER COLUMN ON LOT 02645K MK 07 AT 50 TUAS WEST DRIVE|201444325|13/11/2014|787|18278100|0
A0749-02296-2013-BP01|CONVERSION OF EXISTING 1ST STOREY VOID DECK TO SOCIAL SERVICE CENTRE ON LOT(S) 03277A  MK13 AT 646  WOODLANDS RING ROAD|201444327|13/11/2014|329|439910|0
E2366-00218-2011-BP01|ADDITIONS AND ALTERATIONS TO EXISTING 2-STOREY DETACHED DWELLING HOUSE (STATE PROPERTY) INVOLVING THE ADDITION OF  A NEW SWIMMING POOL ON LOT 00557C PT TS 25 AT 8 NASSIM ROAD|201444330|13/11/2014|214|180000|1
E3792-00003-2013-BP01|ADDITIONS AND ALTERATIONS FOR NEW ELECTRICAL ROOM AT LIQUID MODULE 2 CHANGI WATER RECLAMATION PLANT AT 10 CHANGI EAST CLOSE|201444332|13/11/2014|112|172000|0
A2077-00003-2012-BP01|ERECTION OF A 6-STOREY SINGLE-USER WAREHOUSE DEVELOPMENT ON LOT 06563M MK 05 AT 5A TOH GUAN ROAD EAST (CLEMENTI PLANNING AREA)|201444334|13/11/2014|74321|58113000|0
E3915-00016-2014-BP01|ADDITIONAL ONE UNIT OF PASSENGER LIFT TO EXISITNG 2-STOREY DETACHED DWELLING HOUSE ON LOT 05392W MK23 AT 53 BRANKSOME ROAD|201444336|13/11/2014|0|80000|1
E3292-00027-2009-ST103|PROPOSED UNDERGROUND MASS RAPID TRANSIT CUT AND COVER TUNNEL AND BORED TUNNEL FOR CONTRACT C921 DOWNTOWN LINE STAGE 2 AT ROCHOR AND LITTLE INDIA ON LOT(S) 00617K , 00627V , 00629T , 00631P , 00633A , 00635N , 00637L , 00639M , 00641C , 00643W , 00645P , 00647A , 00649N , 00651K , 00785K , 00914A , 00915K , 00930T , 00931A  & 99576C  TS12, 00899T , 01065W  & 01066V  TS13, 01019K , 01096T , 01114C  & 01115C  TS16, 01545C  & 01880C  TS18 AT ROCHOR CANAL ROAD|201444337|13/11/2014|0|0|0
A1292-01319-2013-BP01|ADDITIONS AND ALTERATIONS TO EXISTING BLOCK 507 AND 512 SINGLE STOREY NURSING HOME WITH A NEW COVERED HANDICAPPED RAMP CONNECTING EXISTING COVERED LINKWAY AND EXISTING BLOCK 507 FOR REN CI HOSPITAL ON LOT 99585T TS 29 AT 70 JALAN TAN TOCK SENG|201444339|13/11/2014|59|400000|0
A1694-00200-2011-BP01|ERECTION OF A 8-STOREY MULTI-USER LIGHT INDUSTRIAL DEVELOPMENT WITH 2 BASEMENTS ON LOTS 4856K AND STATE LAND 5998L (PART) MK 23 AT 3 KIM CHUAN LANE|201444345|14/11/2014|6553|6200000|0
A1600-00205-2014-BP01|ADDITIONS AND ALTERATIONS INVOLVING TENANCY WORKS TO UNIT #B1-138/139/140 & #01-60/61/62, MARINA BAY SANDS INTEGRATED RESORT ON LOT 256A TS30 AT NO. 2 BAYFRONT AVENUE SINGAPORE 018972|201444341|14/11/2014|0|0|0
A1236-00001-2007-BP01|ADDITION AND ALTERATION TO EXISTING 14-STOREY OFFICE BUILDING WITH ADDITIONAL 2 FLOORS ON LOT/S 00365M, 00367V & 00369T TS01 AT 137 MARKET STREET|201444342|14/11/2014|1354|12000000|0
E2118-00508-2014-BP01|ADDITIONS AND ALTERATIONS TO THE EXISTING 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH ROOF TERRACE ON LOT 17222K MK18 AT 4 MIMOSA ROAD|201444343|14/11/2014|18|20000|0
E3618-00024-2011-BP01|RECONSTRUCTION OF AN EXISTING SINGLE STOREY INTERMEDIATE TERRACE DWELLING HOUSE TO A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 00919A MK 20 AT 41 JALAN TARI PIRING|201444346|14/11/2014|214|100000|1
A0562-01101-2011-BP01|ERECTION OF A PAIR OF 3-STOREY SEMI-DETACHED DWELLING HOUSES EACH WITH A ROOF TERRACE AND SWIMMING POOL (BREAKAWAY FROM SEMI-DETACHED DWELLING HOUSE NO 18) ON LOT 06503X MK 18 AT 20 & 22 MAYFLOWER AVENUE|201444347|14/11/2014|706|1050000|2
E3060-11367-2013-BP01|ADDITIONS AND ALTERATIONS TO THE EXISTING 2-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC AND SWIMMING POOL ON LOT 07491P MK17 AT 5A CAMBORNE ROAD SINGAPORE 299858|201444349|14/11/2014|29|180000|0
E1936-10003-2014-BP01|SINGLE STOREY BICYCLE STATION AT PUNGGOL PARK ON LOT 00777X MK 21 AT HOUGANG AVENUE 10|201444352|14/11/2014|50|50000|0
E3794-00033-2013-BP01|ADDITION OF ANCILLARY OFFICES AND TEST ROOMS AT 2ND STOREY LEVEL OF EXISTING 7-STOREY SINGLE USER FACTORY ON LOT 4465P MK 31 AT 39 CHANGI NORTH CRESCENT|201444353|14/11/2014|98|50000|0
A1571-00003-2011-BP01|ERECTION OF A 2-STOREY SEMI-DETACHED HOUSE ON LOT 3671P MK18 AT 32 JALAN BANGAU|201444355|14/11/2014|325|540000|1
A1658-00008-2011-BP01|ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 00639X MK22 AT 10 SIRAT ROAD|201444356|14/11/2014|452|650000|1
A1391-14157-2014-BP01|ADDITIONS AND ALTERATIONS TO THE EXISTING PART 3, PART 4-STOREY SINGLE-USER LIGHT INDUSTRIAL DEVELOPMENT WITH ANCILLARY FACILITIES AT 12 TUAS BAY WALK ON LOT(S) 4367A   MK07 AT 12 TUAS BAY WALK|201444357|17/11/2014|64|1100000|0
A0650-00112-2013-BP01|NEW ERECTION OF 3-STOREY SEMI-DETACHED DWELLING HOUSE ON LOT 00285A MK 13 AT 54 JALAN LENGKOK SEMBAWANG (MANDAI PLANNING AREA)|201444358|17/11/2014|518|954646|1
A1658-00035-2011-BP01|ERECTION OF A PAIR OF 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH ROOF TERRACE ON LOT 02943C MK18 AT 35 & 35A JALAN KECHUBONG|201444359|17/11/2014|773|1120000|2
A0600-00026-2014-BP01|ADDITIONS / ALTERATIONS TO EXISTING 2-STOREY CONSERVED SHOPHOUSE ON LOT 99795T TS03 AT 70 CLUB STREET (TELOK AYER CONSERVATION AREA)|201444360|17/11/2014|249|100000|0
A1276-00625-2012-BP01|ERECTION OF 2 UNITS OF 3-STOREY TERRACE II DWELLING HOUSES (ONE CORNER & ONE INTERMEDIATE), EACH WITH A BASEMENT & AN ATTIC ON LOTS 00332W, 00464C & 00986M TS29 AT 15 & 17 PROME ROAD (NOVENA PLANNING AREA)|201444361|17/11/2014|844|1629970|2
A1262-00057-2011-BP01|ADDITION AND ALTERATION TO THE EXISTING MULTI STOREY CAR PARK INVOLVING THE ADDITION OF LIFT AND ROOF SHELTER ON LOT 07361N MK 17 AT BLK 11A LORONG 8 TOA PAYOH|201444362|17/11/2014|1342|417537|0
E2620-00183-2012-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING MSDW UNIT (COMPRISING MODIFICATION TO  EXISTING STRUCTURES/NEW STRUCTURES TO SUPPORT NEW EQUIPMENTS, PIPING AND RELATED ANCILLARY FACILITIES) FOR THE JURONG LUBES EXPANSION PROJECT(ONSITES) FOR EXXONMOBIL ASIA PACIFIC PTE LTD ON LOT(S) 1292N, 1401P, 1616L, 1617C, 1901C, 2595C, 2596M, 3169P, 3882M & 3883W MK06, 1570A, 1589C, 1590X, 1591L, 1737M, 1740M, 2514L, 280W, 281V, 282P, 283T, 289C, 290X, 721M, 812V & 839W MK07 AT 18 PIONEER ROAD SINGAPORE 628498|201444363|17/11/2014|283|12000000|0
E2270-01332-2011-BP01|ADDITIONS AND ALTERATIONS TO EXT'G 2-STOREY INTERMEDIATE TERRACE ON LOT 1658V MK 27 AT 49 JALAN BANGSAWAN SINGAPORE 457819|201444365|17/11/2014|164|152000|0
A1889-00010-2010-BP01|PUBLIC HOUSING DEVELOPMENT COMPRISING 1 BLOCK OF 11-STOREY RESIDENTIAL BUILDING (TOTAL 149 UNITS) WITH COMMUNITY ACTIVITY SPACE AND 1 BLOCK OF ELECTRICAL SUB-STATION ON LOT 05185K MK28 AT 117/ 117A TAMPINES STREET 11|201444364|17/11/2014|0|0|0
A1753-00149-2010-BP01|ERECTION OF 2 BLOCK OF 5-STOREY APARTMENT WITH ATTIC (TOTAL 55 UNITS) AND PROVISION OF A SWIMMING POOL AND CARPARK ON LOT 10035T, 05849P & 02834X MUKIM 26 AT 262 & 264 JOO CHIAT PLACE|201444367|17/11/2014|3878|10195000|55
A1653-13260-2014-BP01|ADDITIONS AND ALTERATIONS TO AN EXISTING PENTHOUSE 3 APARTMENT (#20-10) AT HILLTOPS CONDOMINIUM, ORCHARD BLOCK, ON LOT(S) 168C , 169M , 170L , 171C , 172M , 173W , 174V , 175P , 176T , 177A , 178K , 179N , 180A , 181K , 182N , 183X , 184L  & 657L  TS27 AT 101 CAIRNHILL CIRCLE|201444368|17/11/2014|0|0|0
A1413-00046-2009-BP01|COVERED LINKWAY FROM EXISTING SCHOOL SIDE GATE OF WOODLANDS RING PRIMARY SCHOOL TO EXISTING BUS SHELTER ON LOTS 04070V, 04074K & 03267L MK 13 AT WOODLANDS RING ROAD|201444370|17/11/2014|0|0|0
A1013-00049-2012-BP01|CONSTRUCTION OF 3 NOS. OF COVERED LINKWAYS FROM BLOCK 301 TO 303, 303 TO 304 AND 305 TO 306 JURONG EAST STREET 32 ON LOT(S) 03822W , 03830K , 03831N , 04001X  & 04002L  MK05 AT 301 JURONG EAST STREET 32 SINGAPORE 600301,  306 JURONG EAST STREET 32 SINGAPORE 600306,  304 JURONG EAST STREET 32 SINGAPORE 600304,  303 JURONG EAST STREET 32 SINGAPORE 600303,  305 JURONG EAST STREET 32 SINGAPORE 600305|201444371|17/11/2014|0|0|0
E2554-00112-2014-BP01|METAL ROOF OVER EXISTING OUTDOOR REFRESHMENT AREA FRONTING EATING HOUSE #01-2063 ON LOT 01211L MK31 AT BLOCK 5 CHANGI VILLAGE|201444372|17/11/2014|100|80000|0
E1799-00052-2013-BP01|ADDITIONS AND ALTERATIONS TO THE EXISTING FACTORY ON LOT 01227N MK 06 AT 61 QUALITY ROAD|201444373|17/11/2014|517|500000|0
A0484-01956-2013-BP01|REGULARISATION AT EXISTING 2-STOREY SINGAPORE SYNCHROTRON LIGHT SOURCE BUILDING AND RECONSTRUCTION OF GAS SHED ON LOT 04343A  MK03 AT 5 RESEARCH LINK|201444375|17/11/2014|33|124320|0
A1753-00130-2009-BP01|ERECTION OF A BLOCK OF 14-STOREY RESIDENTIAL BUILDING COMPRISING OF 90 UNITS APARTMENT WITH A SWIMMING POOL AND MECHANIZED CAR PARK ON LOTS 04739C & 10382P  MUKIM 24 AT 455 SIMS AVENUE|201444376|18/11/2014|6067|14650000|90
E2343-00003-2009-BP01|COVER TO EXISTING PEDESTRIAN OVERHEAD BRIDGE AND COVERED LINKWAY TO EXISTING BUS SHELTERS ON LOTS 05137L 04629V AND 05257L MK13  AT ADMIRALTY ROAD EAST NEAR PAKISTAN ROAD|201444378|18/11/2014|286|221534|0
E2274-00002-2013-BP01|ADDITION OF SUN PAVILION TO EXISTING GARDENS BY THE BAY ON LOT 304L  TS30 AT 18 MARINA GARDENS DRIVE|201444382|18/11/2014|828|1098000|0
A1391-14156-2014-BP01|INTERIOR ADDITIONS AND ALTERATIONS WORKS AT 1ST STOREY OF THE EXISTING SINGLE-USER WAREHOUSE DEVELOPMENT (BUSINESS 2) AT 19 GREENWICH DRIVE ON LOT(S) 00801N  MK30 AT 19 GREENWICH DRIVE|201444384|18/11/2014|0|650000|0
A384A-00018-2012-BP01|CONSERVATION, ADDITIONS AND ALTERATIONS AND CHANGE OF USE TO THE EXISTING 2-STOREY RESIDENTIAL BUILDING TO SHOP ON 1ST STOREY AND OFFICE ON 2ND STOREY WITH 2-STOREY REAR EXTENSION ON LOT 98693X MK24 AT 631 GEYLANG ROAD|201444388|18/11/2014|250|250000|0
A0454-00433-2012-BP01|RECONSTRUCTION WITH PROVISION OF ATTIC TO THE EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH BASEMENT ON LOT 07662M MK18 AT 87 JALAN PEMIMPIN|201444389|18/11/2014|687|1200000|1
A0414-00102-2012-BP01|RECONSTRUCTION OF AN EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE TO A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH PROVISION OF AN ATTIC ON LOT 02442T MK 27 AT 19 JALAN KUPANG|201444390|18/11/2014|617|500000|1
A1262-00043-2011-BP01|ADDITIONS AND ALTERATIONS TO THE EXISTING 6/6 MULTI-STOREY CARPARK INVOLVING ADDITION OF LIFT ON LOT 03580V PT MK01 AT BLOCK 57A TELOK BLANGAH HEIGHTS|201444391|18/11/2014|0|112455|0
A0642-00001-2010-BP01|RECONSTRUCTION TO THE EXISTING ST. ANTHONY'S CANOSSIAN PRIMARY AND SECONDARY SCHOOLS ON LOT 06273P MK 28 AT 1600 & 1602 BEDOK NORTH AVENUE 4|201444392|19/11/2014|0|0|0
E3263-00050-2010-ST01|PROPOSED RC RETAINING WALL SLOPE FAILURE BEHIND HOUSE 101, 103 , 105,107,111, 117 AND 119 HOLLAND ROAD ON LOT (S) 1178L MK02 AT HOLLAND ROAD|201444393|19/11/2014|0|0|0
E0700-00112-2013-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING 2-STOREY SINGLE USER TERRACE FACTORY WITH ANCILLARY OFFICE LOT 09947V MK 27 AT 22 CHANGI SOUTH STREET 1|201444394|19/11/2014|0|0|0
E2416-00018-2011-ST01|CONTRACT RP 137 - EMAS ON MAJOR ARTERIAL ROADS - TYPE 1 AVMS AT SERANGOON CORRIDOR AT TEMP ROAD NAME|201444395|19/11/2014|0|0|0
E2416-00006-2010-ST01|CONTRACT RP 137 EMAS ON MAJOR ARTERIAL ROADS AT TEMP ROAD NAME|201444396|19/11/2014|0|0|0
E3915-00003-2012-BP01|ADDITIONAL ONE BLOCK OF WORKSHOP ON LOT 00918A (JTC PLOT A11444) MK07 AT 14 PIONEER SECTOR 1|201444398|19/11/2014|42|3000000|0
E3361-01409-2014-ST01|PROPOSED STRENGTHENING WORKS TO THE EXISTING RC BEAMS AT LEVEL 2 OF ANG MO KIO MRT STATION ON MK 18 LOT 11578K AT 2450 ANG MO KIO AVENUE 8 ON LOT(S) 11578K  MK18 AT 2450 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION SINGAPORE 569811|201444400|19/11/2014|0|0|0
A1068-00002-2010-BP01|ERECTION OF A 2-STOREY GOOD CLASS BUNGALOW WITH ATTIC, BASEMENT AND SWIMMING POOL ON LOT 05754M MK 04 AT 15 ASTRID HILL|201444403|19/11/2014|1865|7084000|1
A0781-00027-2012-BP01|ADDITIONS AND ALTERATIONS TO EXISTING 3-STOREY SINGLE-USER FACTORY INVOLVING EXTENSION ON 1ST TO 3RD STOREY AND ADDITION OF 4TH STOREY WITH TEMPORARY SECONDARY WORKERS' DORMITORY (FOR 500 WORKERS) ON LOT 1333A MK 11 AT 8 SUNGEI KADUT AVENUE (SUNGEI KADUT PLANNING AREA)|201444404|19/11/2014|2050|2535829|0
E2444-00028-2014-ST01|PROPOSED DEMOLITION WORK TO THE EXISTING SINGLE STOREY FACTORY / PART 2-STOREY ANCILLARY OFFICE INDUSTRIAL BUILDING ON LOT 1629W MK 31 AT 18 LOYANG CRESCENT|201444405|19/11/2014|0|0|0
E3915-00004-2013-BP01|RETENTION OF ADDITIONS AND ALTERATIONS TO AN EXISTING 2-STOREY DETACHED DWELLING HOUSE ON LOT 0566K MUKIM 21 AT 37 PONGGOL TWENTY-FOURTH AVENUE|201444407|20/11/2014|244|200000|0
E3341-00303-2013-BP01|ADDITIONS & ALTERATIONS INVOLVE ERECTION OF A NEW GAS COMPARTMENT, EXTENSION TO EXISTING SINGLE STOREY UTILITY SHED & ADDITIONS & ALTERATIONS TO EXISTING 2-STOREY 'E8' STANDARD FACTORY ON LOT(S) 01865A  MK07 AT 20 TUAS WEST ROAD SINGAPORE 638379|201444411|20/11/2014|0|0|0
E3493-00329-2013-ST01|PROPOSED INSTALLATION OF 4.0T SINGLE GIRDER OVERHEAD TRAVELLING CRANE SYSTEM ON EXISTING JTC TYPE C5 FACTORY ON PLOT A12000 LOT 1369 MK 7 AT NO.15 TUAS DRIVE 1. ON LOT(S) 1369  MK07 AT 15 TUAS DRIVE 1|201444410|20/11/2014|0|0|0
