PROJECT REFERENCE NUMBER|DESCRIPTION|ARCHITECT|TOP NUMBER|DATE ISSUED|FLOOR AREA|COST|RESIDENTIAL UNITS
A1756-00006-2011-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT, BLK 133 TO 143 WITH NEW LIFTS / LIFT LOBBIES AT MARSILING ROAD & MARSILING RISE (LIFT UPGRADING PROGRAMME)- [THIS TEMPORARY OCCUPATION PERMIT IS GRANTED FOR  LIFT A OF BLOCK 137 ]|LIM KENG YONG|201442823|05/08/2014||0|0
A1900-00356-2013-BP01|ERECTION OF 3 STOREY SINGLE-USER GENERAL INDUSTRIAL FACTORY DEVELOPMENT WITH TEMPORARY ANCILLARY WORKER'S DORMITORY (TOTAL 14 WORKERS) ON LOT 04580K MK 07 AT TUAS SOUTH STREET 8 (TUAS PLANNING AREA)|JULIAN JONG MING SIANG|201442826|05/08/2014|2236.59|1200000|0
A1207-00005-2012-BP01|NEW ERECTION OF DULWICH COLLEGE COMPRISING OF 1 3-STOREY BLOCK, 1 5-STOREY BLOCK, 1 1-STOREY BLOCK WITH 2 BASEMENTS, 1 2-STOREY ADMIN BLOCK, ON LOT 04935T MK10 AT BUKIT BATOK WEST AVENUE 8- THIS TOP IS FOR PHASE 1A COMPRISING 1 3-STOREY BLOCK, 1 5-STOREY BLOCK AND 1 2-STOREY ADMIN BLOCK ONLY|HENG CHIANG HOCK|201442827|05/08/2014|26559.67|62501281|0
A1365-13013-2013-BP01|A&A WORKS TO EXISTING 3RD STOREY/2ND STOREY, 4TH STOREY/3RD STOREY, UPPER 6TH STOREY/6TH STOREY AND ROOF PLAN TO EXISTING 6TH STOREY SHOPPING COMPLEX (NEX) WITH 1 BASEMENT AND BUS INTERCHANGE ABOVE THE UNDER GROUND SERANGOON MRT CIRCLE LINE STATION ON LOT 09805A MK17 AT 23 SERANGOON CENTRAL|YEO SIEW HAIP|201442828|05/08/2014|422.05|5888000|0
A0768-00007-2012-BP01|RECONSTRUCTION TO THE EXISTING 2-STOREY CORNER TERRACE DWELLING HOUSE TO A 3-STOREY CORNER TERRACE DWELLING HOUSE ON LOT(S) 00938X MK14 AT 30 HAZEL PARK TERRACE|LIM ENG KHOON|201442829|05/08/2014|506.08|905413|1
A1583-00002-2012-BP01|ALTERATIONS & ADDITIONS TO EXISTING EAST SPRING PRIMARY SCHOOL INVOLVING NEW ERECTION OF A 4-STOREY BLOCK COMPRISING INDOOR SPORTS HALL AND OTHER ANCILLARY FACILITIES ON LOT(S) 6949M MK28 AT 31 TAMPINES STREET 33 #01-00 EAST SPRING PRIMARY SCHOOL SINGAPORE 529258 - [THIS TOP IS ISSUED FOR BLOCK C (1ST - 4TH STOREY) AND PLAYFIELD ONLY]|Tan Pheng Chee|201442833|05/08/2014|4894.13|9532352|0
A0454-00444-2013-BP01|ERECTION OF SINGLE STOREY INTERMEDIATE TERRACE DWELLING HOUSE TO 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 98473L MK 22 AT 10B FLOWER ROAD|PHILLIP CONN|201442832|05/08/2014|369.89|825000|1
A1351-00641-2013-BP01|COVERED PEDESTRIAN OVERHEAD BRIDGE RAMPS ACROSS TPE NEAR PUNGGOL BLK 119 AND SENGKANG BLK 185 ON LOTS 01456M, 01063A, 01599K AND 02272P, MK 21|GAN GEOK SAN|201442840|05/08/2014|621.15|1100000|0
A1674-00158-2011-BP01|NEW ERECTION TO A PAIR OF 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC AND SWIMMING POOL ON LOT 4929C & 4931L PT MK 26 AT 42 FRANKEL AVENUE|MS NG HWEE HOON|201442844|05/08/2014|1226.48|3230000|2
E2829-01034-2013-BP01|ADDITIONS & ALTERATIONS TO PART OF 3RD STOREY OF AN EXISTING SINGLE-USER GENERAL INDUSTRIAL BUILDING ON LOTS 00283P PT, 00284T PT, 00285A PT, 00286K PT, 00287N PT & 04381W PT MK 6 AT 19 JALAN TUKANG|TEO JIN KWEE|201442845|05/08/2014|52.56|300000|0
A0712-00310-2010-BP01|EXECUTIVE CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 9 BLOCKS OF 16-STOREY RESIDENTIAL UNITS, 1 BLOCK OF 7-STOREY MULTI-STOREY CARPARK WITH ROOF GARDEN AND RESIDENTIAL UNITS, ANCILLARY FACILITIES AND SWIMMING POOL (TOTAL = 574 UNITS) ON LOT 7155P MK 28 AT TAMPINES AVE 8 (TAMPINES PLANNING AREA)|LAURENCE TAN JER KIAT|201442835|05/08/2014|84617.26|128000000|574
A1875-00010-2013-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING SINGLE-USER PHARMACEUTICAL PLANT INVOLVING EXISTING 2-STOREY BOILER HOUSE, EXISTING R&D BUILDING, EXISTING TANKFARM 1, EXISTING WASTE TANK PIT, EXISTING TRICKLING FILTER AREA, EXISTING STRIPPER AREA, AND NEW ERECTION OF 5 LEVEL  STRIPPER COLUMN ON LOT 02645K MK7 AT 50 TUAS WEST DRIVE-THIS TOP IS FOR PHASE 1 EXCLUDING THE TANK FARM1 & HIGH BOILER SKID ONLY|SIM KOOI CHUAN|201442837|05/08/2014|786.82|18278100|0
A1721-00002-2013-BP01|ADDITIONS AND ALTERATIONS TO B1, 1ST, 2ND, 3RD & 4TH STOREY OF THE EXISTING BUGIS JUNCTION SHOPPING CENTRE ON LOT 1015C TS 13 AT 200 & 230 VICTORIA STREET(THIS TOP IS GRANTED FOR UNITS #02-26 TO 33, #03-18 TO 19/19A AND NEW RC SLAB OVER VOID (PARTIAL) AT GRID LINES F/J TO 13/14 FROM 2ND TO 3RD STOREY ONLY)|MICHAEL VONG YEE YAN|201442841|05/08/2014|559.93|16915604|0
E4184-00407-2013-ST03|WIDENING OF LORONG 6 TOA PAYOH AND BRADDELL ROAD BETWEEN LORONG 1 TOA PAYOH AND BRADDELL FLYOVER ON LOT(S) 02936A , 05333P , 06109P , 06111V , 06115K , 06117X , 06499V , 06501A , 06917K , 07577P , 08238A , 08240T , 09127L , 09489M , 09764A , 09880W  & 09882P  MK17, 13401T , 14255P , 15556T  & 15557A  MK18 AT BRADDELL ROAD|TAN KING HEONG|201442850|06/08/2014||0|0
A1125-00053-2012-BP01|ADDITION AND ALTERATION INVOLVING NEW ERECTION OF 7-STOREY TEACHING FACILITIES BUILDING AT THE TEMASEK POLYTECHNIC ON LOT 06163C MK28 AT 21 TAMPINES AVENUE 1|HO SWEET WOON|201442859|06/08/2014||0|0
A0940-00525-2012-BP01|NEW ERECTION OF 1 UNIT OF 3-STOREY SEMI-DETACHED HOUSE WITH A SWIMMING POOL ON LOT 00807V MK 23 AT 40E PAYA LEBAR CRESCENT|LEO HEE HENG|201442862|06/08/2014|609.23|1008000|1
A1994-00016-2012-BP01|PROPOSED ADDITIONS & ALTERATIONS TO EXTG PUBLIC HOUSING DEVELOPMENT, BLKS 135 TO 137, 141 & 142 WITH NEW LIFTS / LIFT LOBBIES AT TECK WHYE LANE (LUP) ON LOT(S) 01133M  & 01390M  MK11 AT 135 TECK WHYE LANE SINGAPORE 680135,  136 TECK WHYE LANE SINGAPORE 680136,  142 TECK WHYE LANE SINGAPORE 680142,  141 TECK WHYE LANE SINGAPORE 680141,  137 TECK WHYE LANE SINGAPORE 680137 THIS TEMPORARY OCCUPATION PERMIT IS ISSUED FOR BLOCKS 135 LIFT A & B, 136 LIFT A & C|ONG LI CHING GIDGETELENA|201442863|06/08/2014|278.65|1132683|0
A1365-02283-2007-BP01|CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 4 BLOCKS (E1, E2, E3 & F) OF 3 STOREY FLATS AND 6 BLOCKS ( A, B, C, D, G & H) OF 5 STOREY FLATS (TOTAL 393 UNITS) WITH BASEMENT CARPARKS AND COMMUNAL FACILITIES ON LOT 06495W MK 27 AT SIGLAP ROAD|YEO SIEW HAIP|201442867|07/08/2014|69693.58|131000000|393
A0697-00004-2012-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT PRECINCT A & B CONSISTING OF BLOCKS 401, 402, 403, 404, 405, 407, 408, 409, 410,  410A, 411, 412, 413 AND 414 WITH NEW LIFTS / LIFT LOBBIES (LIFT UPGRADING PROGRAMME) ON LOT 6999L MK24 AT SERANGOON CENTRAL [PHASE 3 TOP FOR BLOCK 414 LIFTS ?A? & ?C? ONLY]|NGOOI  NGOK  SAI|201442868|07/08/2014|328.3|1098100|0
A0704-47804-2011-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT BLOCKS 441 TO 455 WITH NEW LIFTS/LIFT LOBBIES ON LOT 13132V MK18 AT SIN MING AVENUE / BRIGHT HILL DRIVE [PHASE 13 TOP FOR BLOCK 441 LIFT 'D', BLOCK 445 LIFT 'A', BLOCK 449 LIFT 'B' AND BLOCK 454 LIFT 'A' ONLY]|LIM BOON LENG JOHN|201442869|07/08/2014|5440.44|13169300|0
E3575-00002-2009-ST209|PROPOSED SEWERAGE SCHEME TO PHASE OUT NEE SOON PUMPING STATION ON LOT(S) 03068M  MK19 AT YISHUN AVENUE 6 NEE SOON PUMPING STATION SINGAPORE 760389|Loh Kar Kheng|201442871|07/08/2014||0|0
A1326-00228-2013-BP01|PENJURU RECREATION CENTRE (PHASE 2) COMPRISING A SINGLE-STOREY COMMERCIAL BLOCK, A SINGLE-STOREY MULTI PURPOSE HALL, A SINGLE-STOREY CANTEEN BLOCK, A SINGLE-STOREY TOILET BLOCK, BIN CENTRE AND ELECTRICAL SUBSTATION ON LOTS 02338L & 08448W MK05 AT PENJURU WALK|MICHAEL TAN YONG SIANG|201442872|07/08/2014|4289.36|8000000|0
A1273-00011-2011-BP01|ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC AND A SWIMMING POOL ON LOT 1916N MK 34 AT 135 COVE DRIVE|ANGELENE CHAN|201442873|07/08/2014|835.0|5800000|1
A1872-00634-2013-BP01|RECONSTRUCTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH A NEW ATTIC ON LOT 00501T MK15 AT 19 JALAN NAGA SARI|LEE SONG WEE|201442874|07/08/2014|519.85|926600|1
A1578-00003-2012-BP02|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT, BLOCKS 332 TO 337 & 339 TO 341 WITH NEW LIFTS/ LIFT LOBBIES & BLOCK ENTRANCE PORCHES AT HOUGANG AVENUE 5 & 7 (LIFT UPGRADING PROGRAMME) ON LOTS 3722N , 3723X , 3724L , 3725C , 3726M , 3847W , 3848V , 3853T , 3854A , 3855K , 3856N , 3857X , 4451W , 4452V , 4453P , 4454T , 4455A , 4456K  & 7860M  MK22 [THIS TOP IS FOR BLK 333 LIFT A ONLY]|ANG MAE-LI|201442877|07/08/2014|3060.87|10730500|0
A0704-47802-2011-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT, BLOCKS 222, 224 TO 227, 235 TO 237 WITH NEW LIFTS / LIFT LOBBIES ON LOTS 12549K, 12267A, 12547T, 12269N & 16586W MK 18 AT BISHAN STREET 22 / 23 (THIS TOP IS GRANTED FOR BLK 236 LIFT 'A' )|LIM BOON LENG JOHN|201442880|07/08/2014|2632.3|5967349|0
E2441-00884-2013-BP01|ADDITIONS & ALTERATIONS TO EXISTING SINGLE-STOREY WITH MEZZANINE INDUSTRIAL BUILDING INVOLVING ERECTION OF PART 1 / PART 3-STOREY INDUSTRIAL BUILDING WITH TEMPORARY ANCILLARY WORKERS DORMITORY (FOR 30 WORKERS) ON LOT 00633W MK 07 AT 4 JOO KOON ROAD|YEO GUEK NEO ANGELA|201442881|07/08/2014|3569.65|1000000|0
A0986-00060-2012-BP01|RECONSTRUCTION TO AN EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE TO 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 00905K TS26 AT 20B ROBIN CLOSE|SIEW GUAN HWA|201442882|07/08/2014|471.11|452415|1
A0743-10530-2010-BP01|ERECTION OF A BLOCK OF 8-STOREY AND A BLOCK OF 9-STOREY MULTIPLE-USER INDUSTRIAL DEVELOPMENT WITH STAFF CANTEEN ON LOT 06724T MK 23 AT 8 & 10 KAKI BUKIT AVENUE 4|GRACE YOUNG KOK INN|201442965|14/08/2014|129817.71|89500000|0
A1318-10120-2012-BP01|RECONSTRUCTION OF THE EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE TO A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 00742P MK 20 AT 6 IQBAL AVENUE|LOO KOK HOO|201442971|14/08/2014|334.09|700000|1
A0224-00534-2012-BP01|ERECTION OF A 3-STOREY CORNER TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 06836W MK 18 AT 120 YIO CHU KANG GARDENS|WEE KAY CHARN|201442974|14/08/2014|564.7|800000|1
A0454-00430-2012-BP01|RECONSTRUCTION TO THE EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING  HOUSE TO 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 97774M TS 17 AT 11 STURDEE ROAD|PHILLIP CONN|201442977|14/08/2014|531.07|531|1
A0854-00172-2011-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING YIO CHU KANG PRIMARY SCHOOL AND ERECTION OF A BLOCK OF 4-STOREY INDOOR SPORTS HALL WITH ANCILLARY ROOMS ON LOT 08650X MK 22 AT 1 HOUGANG STREET 51 [TOP FOR BLOCK F, TENSILE ROOF AT 1ST STOREY BETWEEN BLOCK A & C, BLOCK C AT 1ST & 2ND STOREY BETWEEN GRID 13-18/J-L ONLY]|GOH SIAN YEW|201442883|07/08/2014|1802.55|3500000|0
A0980-46601-2011-BP01|A&A TO ENTRANCE A, B, C & CONCOURSE LEVEL OF LITTLE INDIA MRT STATION (NEL) AT BUKIT TIMAH ROAD (ROCHOR/ KALLANG PLANNING AREA) ON LOTS 01545C , 01865T , 02043C , 02207V , 02594L , 02596M , 02597W  & 02610W  TS18, 00499M , 00500V  & 00577P  TS19 AT BUKIT TIMAH ROAD[TOP TO GENERAL PURPOSE OFFICE, STAFF ROOM AND NEW MAINTENANCE STORE AT UPPER CONCOURSE LEVEL ONLY]|JOSEPH CHEANG|201442887|07/08/2014|69.0|300000|0
E2722-00082-2012-BP01|RECONSTRUCTION TO THE EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH A NEW ATTIC ON LOT 03987N MK 18 AT 14 JALAN TERUBOK|CHAN KAR WAI|201442888|07/08/2014|337.9|450000|1
A1754-00021-2010-BP01|ADDITIONS & ALTERATIONS TO EXTG PUBLIC HOUSING DEVELOPMENT, BLKS 201 TO 205 WITH NEW LIFTS / LIFT LOBBIES ON LOTS 05805X , 4443T , 4444A , 4445K , 4446N  & 4447X  MK05 AT CLEMENTI AVE 6 (LUP) [TOP FOR BLK 202 (LIFT A, B & D) AND BLK 205 (LIFT D) ONLY]|LEE CHAY PEW PATRICK|201442890|07/08/2014||0|0
A0704-47803-2011-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT, BLOCKS 201, 203 TO 211 WITH NEW LIFT / LIFT LOBBIES ON LOTS 12549K, 12267A, 12547T, 12269N & 16586W MK 18 AT BISHAN STREET 23--THIS TOP ISSUED FOR BLK 203 LIFT 'A' ONLY|LIM BOON LENG JOHN|201442894|08/08/2014|1142.33|4031500|0
A0749-00306-2013-BP01|CONVERSION OF EXISTING 1ST STOREY VOID DECK TO FAMILY SERVICE CENTRE ON LOT(S) 02029C  MK28 AT 554 BEDOK NORTH STREET 3|TAN YEN SAN|201442897|08/08/2014|488.12|600000|0
A1578-00002-2012-BP01|PROPOSED ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT, BLOCKS 320 TO 328 WITH NEW LIFTS/ LIFT LOBBIES & BLOCK ENTRANCE PORCHES ON LOT(S) 3722N , 3723X , 3724L , 3725C , 3726M , 3847W , 3848V , 3853T , 3854A , 3855K , 3856N , 3857X , 4451W , 4452V , 4453P , 4454T , 4455A , 4456K  & 7860M  MK22 AT HOUGANG AVENUE 5 & 7 (LIFT UPGRADING PROGRAMME) - THIS TOP ISSUED FOR BLK 327 LIFT C   ONLY|ANG MAE-LI|201442898|08/08/2014||0|0
A1604-00006-2012-BP01|CHANGE OF USE AND ADDITIONS AND ALTERATIONS OF AN EXISTING 2-STOREY SHOPHOUSE WITH SHOPS AT 1ST & OFFICE AT 2ND STOREY AND AN EXISTING 2-STOREY SHOPHOUSE WITH ATTIC WITH SHOP AT 1ST STOREY AND OFFICES AT 2ND STOREY AND ATTIC TO HOTEL (TOTAL 43 ROOMS) ON LOTS 00162L  & 00163C  TS14 AT 9 / 9A /11 JALAN PINANG|WILSON LING HUK WAI|201442899|08/08/2014|435.36|2500000|0
A1937-00013-2011-BP01|ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSEWITH AN ATTIC AND A BASEMENT ON LOT 01018N  MK20 AT 79 JALAN TARI PIRING|CASEY CHUA KAE-SHIN|201442907|08/08/2014|420.64|950000|1
A1366-00004-2013-BP01|ERECTION OF A 3 STOREY EQUIPPING BUILDING ON LOT 03177L PT MK07 AT PASIR LABA ROAD|CHIN KAM|201442914|11/08/2014|5638.38|7500000|0
A1018-00045-2013-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING 2-STOREY BUILDING WITH THE ADDITION OF A NEW SINGLE-STOREY ANNEXE BUILDING AND SENTRY POST, DRIVEWAY AND COVERED LINKWAY FOR THE POLICE NATIONAL SERVICE DEPARTMENT ON LOT 03941N MK26 AT 170 STILL ROAD (BEDOK PLANNING AREA) - [THIS TOP IS ISSUED FOR THE EXISTING 2-STOREY MAIN BUILDING, NEW SENTRY POST, EXISTING & NEW DRIVEWAYS AND NEW COVERED LINKWAY ONLY (EXCLUDE OPEN SPACE)]|WONG YEOW HOONG|201442916|11/08/2014|305.21|1500000|0
A1276-00625-2012-BP01|ERECTION OF 2 UNITS OF 3-STOREY TERRACE II DWELLING HOUSES (ONE CORNER & ONE INTERMEDIATE), EACH WITH A BASEMENT & AN ATTIC ON LOTS 00332W, 00464C & 00986M TS29 AT 15 & 17 PROME ROAD (NOVENA PLANNING AREA)|CHIN HONG OON|201442918|11/08/2014|843.92|1629970|2
A1533-00003-2013-BP01|RECONTRUCTION OF AN EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE INVOLVING 3-STOREY ON LOT 05407L MK 28 AT 121 SUNBIRD ROAD|LUA KOK LEONG|201442919|11/08/2014|235.49|631300|1
A1326-00210-2011-BP01|RESTORATION AND A/A TO EXISTING 2-STOREY INTERMEDIATE CONSERVED TERRACE HOUSE WITH A NEW 6-STOREY REAR EXTENSION FOR USE AS A SINGLE RESIDENTIAL DWELLING HOUSE ON LOT 99537W TS19 AT 19 NIVEN ROAD|MICHAEL TAN YONG SIANG|201442923|11/08/2014|279.86|870000|0
A1085-00007-2013-BP01|ERECTION OF A SINGLE USER GENERAL INDUSTRIAL FACTORY WITH ANCILLARY OFFICE AND TEMPORAY  ANCILLARY WORKERS DORMITORY (FOR 21 PERSONS) ON LOT 4590V MK 07 AT TUAS SOUTH STREET 8|PANG KIM ANN|201442926|11/08/2014|3908.24|4139879|0
A1658-00058-2012-BP01|ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH ATTIC ON LOT 98217V MK18 AT 58 KENSINGTON PARK ROAD (BREAK-OFFFROM HOUSE 60 KENSINGTON PARK ROAD)|ANG WEI MEIN|201442944|12/08/2014|474.104|660000|1
A0506-00033-2007-BP01|PROPOSED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING NEW ERECTION OF 1 BLOCK OF 5-STOREY WITH ATTIC AND 1 BLOCK OF 6-STOREY WITH ATTIC RESIDENTIAL FLATS (TOTAL 64 UNITS), 1 BASEMENT CARPARK AND COMMUNAL FACILITIES AND ADDITIONS & ALTERATIONS TO EXISTING SINGLE-STOREY CONSERVED BUILDING FOR CLUBHOUSE USE ON LOTS 00305T, 00718V, 00719P & 01019M TS28 AT BUCKLEY ROAD|LEE KUT CHEUNG|201442932|12/08/2014||0|64
A1959-01105-2011-BP01|ERECTION OF 2 UNITS OF 2-STOREY DETACHED HOUSE WITH BASEMENT AND SWIMMING POOL ON LOT 98382P MK 04 AT 3 LEEDON PARK (PHASE 2)|YEO PEI SHAN|201442938|12/08/2014|1379.91|3684200|1
A1422-00802-2012-BP01|ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 00889N MK18 AT 23 JALAN CHENGAM (ANG MO KIO PLANNING AREA)|POON CHIP WAH|201442943|12/08/2014|330.64|718000|1
A1994-00021-2012-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT, BLOCKS 426 TO 430 WITH NEW LIFTS / LIFT LOBBIES AT ANG MO KIO AVENUE 3 (LIFT UPGRADING PROGRAMME)-THIS TOP ISSUED  FOR BLK 426 LIFT F,  BLK 427 LIFT A & F AND BLK 428 LIFT AONLY|ONG LI CHING GIDGETELENA|201442945|12/08/2014|2414.0|8861411|0
A1491-00092-2012-BP01|ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH ATTIC AND SWIMMING POOL ON LOT 1007W MK 15 AT 4 GREENDALE AVENUE|LIM HSIANG IU|201442948|12/08/2014|617.87|1800000|1
A0650-00106-2013-BP01|NEW ERECTION OF 3-STOREY CORNER TERRACE DWELLING HOUSE WITH AN ATTIC  ON LOT(S) 04482K  MK27 AT 527 UPPER EAST COAST ROAD|FREDDIE CHIA HO KHENG|201442951|12/08/2014|668.21|1150000|0
A1365-42342-2010-BP01|NEW ERECTION OF 66KV SUBSTATION FOR DOWNTOWN LINE STAGE 2 ON LOT(S) 02051T & 02251L (PT) TS18 AT HALIFAX ROAD (KALLANG PLANNING AREA) - PHASE 1: TOP FOR SPPG SUBSTATION|YEO SIEW HAIP|201442952|12/08/2014|6110.53|9000000|0
A1532-00001-2010-BP01|DEVELOPMENT OF SUNGEI BULOH WETLAND PARK INVOLVING ERECTION OF NEW VISITOR CENTRE & OTHER PARK AMENITIES AT KRANJI WAY, PROPOSED REDEVELOPMENT OF SUNGEI BULOH WETLAND RESERVE INVOLVING A & A WORKS TO EXISTING RESEARCH & EDUCATION CENTRE & OTHER ANCILLARY WORKS AT NEO TIEW CRESCENT AND PROPOSED PUBLIC SEWER WORKS AT KRANJI WAY AND SUNGEI KADUT DRIVE.-THIS TOP IS FOR OPEN CAR PARK ON LOT(S) 00836K , 01483T , 03335P , 1485K  & 3336T  MK11, 00868X , 01083K , 01628K , 01775V , 01776P , 1333K  & 1658A  MK12 AT NEO TIEW CRESCENT,  KRANJI WAY,  SUNGEI KADUT DRIVE|LEE HUAI EN EDWIN|201442947|12/08/2014||0|0
A0884-13677-2013-BP01|ERECTION OF A TEMPORARY WORKERS DORMITORY (TOTAL 16,800 WORKERS) COMPRISING 20 BLOCKS OF 4-STOREY WORKERS DORMITORY, 3 BLOCKS OF 2-STOREY ANCILLARY ADMINISTRATION, RECREATIONAL AND ANCILLARY FACILITIES ON LOT 04046C MK 07 AT TUAS SOUTH AVENUE 1 (TUAS PLANNING AREA)-THIS TOP IS FOR 8400 WORKERS INCLUDING 10 BLOCKS OF 4-STOREY WORKERS DORMITORY (CLUSTER A & B), 2 BLOCKS OF 2-STOREY ANCILLARY ADMINISTRATION BLOCK AND 1 NO. OF SUBSTATION, 1 NO. OF BIN CENTRE|TAN MEOW HWA|201442949|12/08/2014||0|0
A0697-00003-2011-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT PRECINCT C & D CONSISTING OF BLOCKS 415, 416, 417, 419, 420, 421, 422, 423, 424, 425, 426, AND 427 WITH NEW LIFTS / LIFT LOBBIES AT SERANGOON CENTRAL (LIFT UPGRADING PROGRAMME) ON LOTS 6887P , 6907C  & 8989L  MK24 AT SERANGOON CENTRAL (THIS TOP IS GRANTED FOR BLOCK 419 LIFT A)|NGOOI  NGOK  SAI|201442958|13/08/2014|156.7|549050|0
A1255-01257-2013-BP01|ADDITIONS & ALTERATIONS INVOLVING ADDITIONS OF 3 NEW STAIRCASES TO THE EXISTING 6-STOREY STUDENT SERVICE CENTRE BUILDING AT NANYANG TECHNOLOGICAL UNIVERSITY (WESTERN WATER CATCHMENT) ON LOT(S) 00173W , 00174V , 00175P , 00176T , 00177A , 00178K , 00179N , 00180A , 00181K , 00182N , 00183X , 00184L , 00185C  & 00186M  MK08, 00029L , 00384T , 00385A , 00392L , 01285K , 01286N , 01287X , 01288L  & 01289C  MK09 AT NANYANG AVENUE|CHUNG TEIK KEONG|201442978|14/08/2014|562.0|1148614|0
A1764-00030-2012-BP01|NEW ERECTION OF A 4-STOREY INDIAN HERITAGE CENTRE ON LOT TS16 1291T (FORMERLY LOTS 00842L AND 99995T TS16) AT 5 CAMPBELL LANE [TOP FOR 1ST STOREY (EXCLUDING COVERED WALKWAY, TICKETING AREA/LOBBY, MUSEUM SHOP, STORE, LOCKERS AND STAIRCASE 1), 2ND STOREY (EXCLUDING STAIRCASE 1 AND FACADE STAIRS), 3RD STOREY (EXCLUDING FACADE STAIRS) AND 4TH STOREY (EXCLUDING ROOF GARDEN ANDFACADE STAIRS) ONLY]|ROBERT GREG SHAND|201442979|15/08/2014||0|0
A0454-00433-2012-BP01|RECONSTRUCTION WITH PROVISION OF ATTIC TO THE EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH BASEMENT ON LOT 07662M MK18 AT 87 JALAN PEMIMPIN|PHILLIP CONN|201442980|15/08/2014|114.24|1200000|1
A1247-00008-2012-BP01|ERECTION OF A 7-STOREY INSTITUTIONAL DEVELOPMENT ON LOT 08298P & 08300K MK 24 AT 693 GEYLANG ROAD|MR NG KHIM MING-WP ARCHITECTS|201442981|15/08/2014|2015.14|5400000|0
A1578-00002-2012-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT, BLOCKS 320 TO 328 WITH NEW LIFTS/ LIFT LOBBIES & BLOCK ENTRANCE PORCHESON LOT(S) 3722N , 3723X , 3724L , 3725C , 3726M , 3847W , 3848V , 3853T , 3854A , 3855K , 3856N , 3857X , 4451W , 4452V , 4453P , 4454T , 4455A , 4456K  & 7860M  MK22 AT HOUGANG AVENUE 5 & 7 (LIFT UPGRADING PROGRAMME) --THIS  TOP ISSUED  FOR BLK 324 LIFT A & E  ONLY|ANG MAE-LI|201442984|15/08/2014||0|0
A1994-00014-2012-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT BLOCKS 311 TO 319 WITH NEW LIFTS / LIFT LOBBIES AT HOUGANG AVENUE 5 / HOUGANG AVENUE 7 ( LUP ) ON LOTS 3661T, 3808N, 3809X, 3810K, 3811N, 7071C, 8734K & 9414C PT MK22 [PHASE 5 TOP FOR BLOCK 319 LIFT ?C? ONLY]|ONG LI CHING GIDGETELENA|201442986|15/08/2014|1065.31|4906213|0
A1994-00021-2012-BP01|PROPOSED ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT, BLOCKS 426 TO 430 WITH NEW LIFTS / LIFT LOBBIES AT ANG MO KIO AVENUE 3 (LIFT UPGRADING PROGRAMME)-- THIS TOP ISSUED FOR BLK 426 LIFT C ONLY|ONG LI CHING GIDGETELENA|201442988|15/08/2014|2414.0|8861411|0
