PROJECT REFERENCE NUMBER|PROJECT TITLE|DATE APPROVED
A0650-00553-2014-CS01|PROPOSED ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH OPEN ROOF TERRACE ON LOT(S) 1366L  MK20 AT 5 SPRINGLEAF GARDEN SINGAPORE 788167|03/10/2014
A0969-01404-2014-CS01|PROPOSED ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC (BREAKAWAY) ON LOT(S) 99425N  MK15 AT 36 GARDENIA ROAD SINGAPORE 578834|21/10/2014
A1513-00004-2013-CS01|PROPOSED NEW ERECTION OF 2 UNITS OF DETACHED DWELLING HOUSES EACH WITH A SWIMMING POOL AND ONLY PLOT 2 WITH A BASEMENT ON LOT(S) 99362T PT & 99363A  MK17 AT 34 BERRIMA ROAD SINGAPORE 299917|20/10/2014
A1678-08030-2014-CS01|PROPOSED NEW ERECTION OF 3-STOREY  INTERMEDIATE TERRACE HOUSE WITH ATTIC AND SWIMMING POOL ON  LOT 01727M MK 28 AT NO 12 MERAGI ROAD ON LOT(S) 01727M  MK28 AT 12 MERAGI ROAD SINGAPORE 487889|07/10/2014
A0781-00023-2012-CS04|PROPOSED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 1 BLOCK OF 19-STOREY APARTMENTS (TOTAL: 175 UNITS) AND PART 4 / PART 5-STOREY ROW HOUSES (TOTAL: 39 UNITS) WITH OPEN ROOF TERRACES, 2 COMMON BASEMENT CARPARKS & COMMUNAL FACILITIES ON LOT 10335T MK 17 AT UPPER SERANGOON ROAD / PHENG GECK AVENUE (TOA PAYOH PLANNING AREA - URA SALE SITE - LAND PARCEL B)|14/10/2014
A1905-00109-2013-CS01|PROPOSED FLAT DEVELOPMENT COMPRISING THE ERECTION OF 2 BLOCKS OF 5-STOREY RESIDENTIAL APARTMENT WITH ATTIC (TOTAL: 58 UNITS), CARPARKS AND COMMUNAL FACILITIES ON LOT(S) 03021K  MK23 AT JALAN SINGA SINGAPORE 123456|08/10/2014
A1553-00109-2012-CS03|PROPOSED ERECTION OF 4 BLOCKS OF 5-STOREY RESIDENTIAL FLATS (TOTAL 139 UNITS) WITH BASEMENT CARPARK, ATTIC WITH COMMUNAL AREA AND COMMUNAL SWIMMING POOL ON LOT 4844L, 3377K, 3378N, 3954T, 6297K MK 24 AT BARTLEY ROAD (SERANGOON PLANNING AREA)|10/10/2014
A0970-01402-2014-CS01|PROPOSED RECONSTRUCTION OF EXISTING 2-STOREY INTERMEDIATE TERRACE HOUSE WITH A NEW ATTIC ON LOT 00262W MK 15 AT 58 WINDSOR PARK ROAD|21/10/2014
A0562-01401-2014-CS01|PROPOSED ERECTION OF 2 UNITS OF 2-STOREY DETACHED DWELLING HOUSESEACH WITH AN ATTIC AND SWIMMING POOL ON LOT 00569L MK 21 AT PONGGOLTWENTY-FOURTH AVENUE (PONGGOL PLANNING AREA)|23/10/2014
A2076-01317-2013-CS01|PROPOSED ERECTION OF 2-STOREY DETACHED DWELLING HOUSE WITH BASEMENT, ATTIC AND SWIMMING POOL ON MK25 LOT 98993M AT NO. 17 WAREHAM ROAD ON LOT(S) 98993M  MK25 AT 17 WAREHAM ROAD SINGAPORE 436781|29/10/2014
A1278-01411-2014-CS01|PROPOSED ERECTION OF 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH A BASEMENT AND ATTIC ON LOT 473T MK 16 AT 110, HUA GUAN AVENUE, SINGAPORE 589206|01/10/2014
A0768-00006-2014-CS01|PROPOSED ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE ON LOT 03900V MK 28 AT 11A LENGKONG LIMA|29/10/2014
A1937-00049-2013-CS02|PROPOSED NEW ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSEWITH AN ATTIC AT 56 JALAN LEBAN ON LOT(S) 01602P  MK18 AT 56 JALAN LEBAN SINGAPORE 577593|09/10/2014
A1937-00048-2013-CS02|PROPOSED NEW ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSEWITH AN ATTIC AT 52 JALAN LEBAN ON LOT(S) 01604A  MK18 AT 52 JALAN LEBAN SINGAPORE 577589|07/10/2014
A1553-00102-2013-CS02|PROPOSED NEW ERECTION OF A 2 STOREY SEMI-DETACHED HOUSE WITH AN ATTIC ON LOT 4998T MK 27 AT 64 JALAN GREJA|15/10/2014
A0930-00013-2012-CS01|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 5 BLOCKS OF 27/40/48-STOREY RESIDENTIAL BUILDING (TOTAL 1232 UNITS) WITH MULTI-STOREY CARPARK, COMMERCIAL / COMMUNITY FACILITIES, ESS & PRECINCT PAVILION AT HENDERSON ROAD / TIONG BAHRU ROAD (BT. MERAH RC53) ON LOT(S) 01012N , 01017W PT, 02355A , 02792N PT & 02887V PT MK01|10/10/2014
A1757-00602-2014-CS01|PROPOSED NEW ERECTION OF 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 98165A MK 18 AT 24 MEDWAY DRIVE SINGAPORE 556519 (SERANGOON PLANNING AREA)|30/10/2014
A0969-01405-2014-CS01|PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH A BASEMENT, AN ATTIC AND A SUNKEN SWIMMING POOL ON LOT(S) 04231N  MK18 AT 52 KASAI ROAD SINGAPORE 808299|30/10/2014
A0642-00002-2012-CS02|PROPOSED 12-STOREY MIXED DEVELOPMENT COMPRISING RESIDENTIAL TOWER (10-STOREY, TOTAL 160 UNITS)) AND RETAIL PODIUM (2-STOREY) WITH 2 BASEMENTS (RETAIL / CARPARKS) ON LOT 06856W MK 22 AT 1189 UPPER SERANGOON ROAD|01/10/2014
E2377-00472-2013-CS02|PROPOSED RECONSTRUCTION TO AN EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH NEW ATTIC ON LOT 07743K MK 18 AT 25 BEGONIA DRIVE (SERANGOON PLANNING AREA)|17/10/2014
A1824-12063-2012-CS01|PROPOSED NEW ERECTION OF A BLOCK OF 6 STOREY RESIDENTIAL APARTMENT WITH ATTIC (5 UNITS), CONSISTING OF SHOP (1 UNIT) ON 1ST STOREY TS17 ON LOT 99477X, 99478L, 99479C, 99485V, 99487T & 99488A AT 48 & 50 SOMME ROAD SINGAPORE 207870 & 207871 (KALLANG PLANNING AREA)|15/10/2014
A1207-00006-2012-CS01|PROPOSED ERECTION OF 1 BLOCK OF 10-STOREY  RESIDENTIAL WITH ATTIC CUM COMMERCIAL PODIUM COMPRISING SHOPS/ RESTAURANTS AT 1ST AND 2ND STOREY AND COMMERCIAL CARPARK AT PART 1ST BASEMENT, RESIDENTIAL FLATS (120 UNITS) WITH ANCILLARY FACILITIES AND RESIDENTIAL CARPARK AT PART 1ST BASEMENT TO 4TH BASEMENT ON LOTS TS20-00325C AND TS20-00327W AT OXLEY RISE (MUSEUM PLANNING AREA)|10/10/2014
A1252-00483-2011-CS04|PROPOSED MIXED DEVELOPMENT COMPRISING ERECTION OF 20/64-STOREY BUILDING WITH 6-STOREY COMMERCIAL & CAR PARK PODIUM, 14-STOREY HOTEL, 32-STOREY OFFICE AND 26-STOREY RESIDENTIAL FLATS (181 UNITS) WITH 3 BASEMENT COMMERCIAL & CAR PARK ON TS03 LOT 00876K AT PECK SEAH STREET/CHOON GUAN STREET (DOWNTOWN CORE PLANNING AREA) ON LOT(S) 00876K  TS03|21/10/2014
A1937-00059-2014-CS01|PROPOSED NEW ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLINGHOUSE WITH OPEN ROOF TERRACE AT 19 JALAN LABU AYER ON LOT(S) 02109M  MK24 AT 19 JALAN LABU AYER SINGAPORE 538031|15/10/2014
A1387-00356-2007-CS04|PROPOSED AMENDMENT TO APPROVED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 11 BLOCKS OF 12-STOREY RESIDENTIAL FLATS (TOTAL: 381 UNITS)WITH A BASEMENT CARPARK, SWIMMING POOL & COMMUNAL FACILITIES ON LOT(S) 02219N , 02220A , 02222N , 02228V , 02229P , 02464L  & 70000W  MK02|15/10/2014
A1937-00053-2014-CS01|PROPOSED NEW ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC AT 8 SIRAT ROAD ON LOT(S) 00637K  MK22 AT 8 SIRAT ROAD SINGAPORE 545762|31/10/2014
A2058-00019-2014-CS02|PROPOSED ADDITION & ALTERATION TO AN EXISTING 2 STOREY DETACHED HOUSE ON LOT 96977A MK 25 AT 90 MEYER ROAD SINGAPORE 437914 (MARINE PARADE PLANNING AREA)|30/10/2014
A1658-00001-2011-CS03|PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH A BASEMENT AND AN ATTIC ON LOT NO. 99475L MK15 AT 10 ORCHID DRIVE|21/10/2014
A2092-00056-2014-CS01|PROPOSED RECONSTRUCTION TO THE EXISTING SINGLE STOREY TO 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ATTIC ON LOT 00537P MK27 AT 20 ERNANI STREET SINGAPORE 458625 (BEDOK PLANNING AREA)|23/10/2014
A2150-00008-2013-CS02|PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH A BASEMENT AND SWIMMING POOL ON LOT 01768C TS 25 (FORMER PART LOT 99479M PLOT 3) AT 3 DALVEY ESTATE (TANGLIN PLANNING AREA)|02/10/2014
A1235-00106-2013-CS01|PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH BASEMENT AND ATTIC ON LOT 04517A , MK 04 AT 11B SECOND AVENUE|14/10/2014
A0650-00102-2014-CS02|PROPOSED ERECTION OF A 3-STOREY CORNER TERRACE DWELLING HOUSE WITH A  SUNKEN SWIMMING POOL ON LOT 02408V MK 18 AT 41 JALAN MINGGU (BISHAN PLANNING AREA)|10/10/2014
E3890-00805-2013-CS01|PROPOSED ERECTION OF 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH NEW ATTIC ON LOT 03226K MK 17 AT 34 WATTEN DRIVE|31/10/2014
A0969-01403-2014-CS01|PROPOSED ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH A BASEMENT, AN ATTIC AND A SWIMMING POOL ON LOT(S) 00709K  MK15 AT 72 JALAN PELATINA SINGAPORE 577324|07/10/2014
A1525-00007-2011-CS02|PROPOSED ERECTION OF A 5-STOREY RESIDENTIAL FLATS WITH AN ATTIC (36 UNITS) DEVELOPMENT WITH A SWIMMING POOL AND COMMUNAL FACILITIES ON LOT 97542W MK 26 AT 25 LORONG M TELOK KURAU (BEDOK PLANNING AREA)|03/10/2014
A1491-00099-2013-CS01|PROPOSED ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH BASEMENT AND ATTIC ON LOT 03477P MK 17 AT NO. 19 WATTEN TERRACE, SINGAPORE 287242|13/10/2014
A0889-00105-2013-CS01|PROPOSED NEW ERECTION OF 3-STOREY CORNER TERRACE DWELLING HOUSE WITH SWIMMING POOL ON LOTS 05632K & 10254M MK 26 AT 33 EVERITT ROAD NORTH, SINGAPORE 428546|07/10/2014
A2100-00006-2013-CS01|PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH BASEMENT AND SWIMMING POOL ON LOT 01657T TS 24 AT 9 JERVOIS HILL (TANGLIN PLANNING AREA)|14/10/2014
A0955-00002-2013-CS01|PROPOSED RECONSTRUCTION TO AN EXISTING 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH A BASEMENT TO A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH  A BSEMENT AND AN ATTIC ON LOT 04324A MK 05 AT NO. 26 TOH YI ROAD SINGAPORE 596506 ( BUKIT TIMAH PLANNING AREA)|14/10/2014
A0986-13030-2013-CS01|PROPOSED 2 UNITS OF 2-STOREY TERRACE DWELLING HOUSES CONSIST OF ONE INTERMEDIATE & ONE CORNER TERRACE BOTH WITH AN ATTIC AND ROOF GARDEN ON LOT(S) 00545T  & 07220V  MK23 AT 27 JALAN KURNIA SINGAPORE 538095|21/10/2014
A2092-00053-2014-CS01|PROPOSED ERECTION OF A 3_STOREY DETACHED DWELLING HOUSE WITH AN ATTIC (BREAKAWAY FROM EXISTING SEMI-DETACHED DWELLING HOUSE) ON LOT 05281N MK 18 AT 82 NERAM ROAD SINGAPORE 807777 (SERANGOON PLANNING AREA)|02/10/2014
E3618-00012-2013-CS01|PROPOSED RECONSTRUCTION OF AN EXISTING SINGLE STOREY INTERMEDIATE TERRACE DWELLING HOUSE TO A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 00345N MK 20 AT 32 JALAN TARI PIRING|02/10/2014
A0909-00001-2007-CS03|PROPOSED ERECTION OF 1 BLOCK OF 35 STOREYS AND 1 BLOCK OF 36 STOREYS CONDOMINIUM FLATS DEVELOPMENT (TOTAL 220 UNITS) WITH 2 BASEMENT CARPARKS, SWIMMING POOL AND COMMUNAL FACILITIES ON LOTS 444C, 445M & 689T TS 21 AT ST THOMAS WALK|16/10/2014
A2098-13002-2013-CS02|PROPOSED NEW ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC AND SWIMMING POOL ON LOT 00516A,MK 15 AT 12 JALAN NAGA SARI, SINGAPORE 288843 (BUKIT TIMAH PLANNING AREA)|17/10/2014
A0781-00017-2006-CS02|PROPOSED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING THE ERECTION OF 2 BLOCKS OF 36-STOREY FLATS (TOTAL: 124 UNITS) WITH 2 COMMON BASEMENT CARPARKS AND COMMUNAL FACILITIES ON LOT(S) 691P  TS21 AT LEONIE HILL ROAD SINGAPORE 239193|24/10/2014
A1252-00485-2011-CS04|PROPOSED ERECTION OF 2-BLKS 30-STY OFFICE,2-BLKS 34-STY RESI BLDGS (TOTAL 1042 UNITS) 3-STY COMMERCIAL PODIUM,4-LEV BASEMENT CARPARKS WITH UNDERGROUND PEDESTRIAN/SHOPPING MALL ON URA LAND PARCELS A1-A13, TS30,STRAITS VIEW/MARINA WAY(DOWNTOWN CORE) ON LOT(S) 273A PT, 359A PT, 361T , 362A , 363K , 364N , 365X PT & 401P PT TS30|03/10/2014
A1422-00702-2013-CS02|PROPOSED ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH ATTIC, BASEMENT AND A SWIMMING POOL ON LOT NO: 03470N MUKIM 17 AT NO: 32, WATTEN PARK SINGAPORE 287419 (BUKIT TIMAH PLANNING AREA)|03/10/2014
A1700-00380-2013-CS02|PROPOSED ERECTION OF A 3 STOREY SEMI-DETACHED HOUSE WITH ATTIC ON LOT 2047K MK 23 AT 75D LORONG MARZUKI. (BEDOK PLANNING AREA)|01/10/2014
A1750-00189-2014-CS01|PROPOSED ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ATTIC ON 96614P MK26 AT 15 DUKU ROAD AT 15 DUKU ROAD SINGAPORE 429165|17/10/2014
A0930-00004-2013-CS01|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 4 BLOCKS OF 13-STOREY RESIDENTIAL BUILDING (TOTAL 432 UNITS), CHILDCARE CENTRE, EATING HOUSE, SHOPS, MINI-MART, MULTI STOREY CARPARK, ESS AND PRECINCT PAVILION AT YISHUN STREET 51 (YISHUN N5 C8) ON LOT(S) 3712T PT MK19 AT 513D YISHUN AVENUE 1 SINGAPORE 764513,  513C YISHUN AVENUE 1 SINGAPORE 763513,  513 YISHUN AVENUE 1 SINGAPORE 760513,  514 YISHUN AVENUE 1 SINGAPORE 760514,  513A YISHUN AVENUE 1 SINGAPORE 761513,  513B YISHUN AVENUE 1 SINGAPORE 762513|02/10/2014
A0909-00003-2007-CS04|PROPOSED ERECTION OF 2 BLOCKS OF 35 STOREYS CONDOMINIUM FLATS DEVELOPMENT (TOTAL 462 UNITS) WITH 2 BASEMENT CARPARK, SWIMMING POOL AND COMMUNAL FACILITIES ON LOT 644T TS 21 AT GRANGE ROAD/ LEONIE HILL ROAD|10/10/2014
A0562-01307-2013-CS01|PROPOSED ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE ON LOT00587T MK19 AT 74 JALAN KEMUNING|03/10/2014
A1324-20010-2014-CS01|PROPOSED NEW ERECTION OF A  2-STOREY DETACHED DWELLING HOUSE WITH A BASEMENT, AN ATTIC AND A SWIMMING POOL ON LOT 96750M MK 17 AT NO 89 KHEAM HOCK ROAD, SINGAPORE 298841|31/10/2014
A1937-00058-2014-CS01|PROPOSED NEW ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSEAT 114 JALAN KURAS ON LOT(S) 01371A  MK18 AT 114 JALAN KURAS SINGAPORE 577780|31/10/2014
A1750-00173-2013-CS01|PROPOSED RECONSTRUCTION TO EXISTING 2-STOREY SEMI -DETACHED WITH NEW ATTIC ON LOT 02391X MK 27 AT 11 JALAN REMIS|17/10/2014
A2033-00004-2013-CS01|PROPOSED 6 BLOCKS OF 17-STOREY EXECUTIVE CONDOMINIUM WITH BASEMENT (TOTAL 378 UNITS) AND COMMUNAL FACILITIES ON LOT(S) 2596W  MK21 AT EDGEDALE PLAINS SINGAPORE 000000|24/10/2014
A1901-01402-2014-CS01|PROPOSED ERECTION OF 2-STOREY DETACHED HOUSE WITH BASEMENT, ATTIC AND SWIMMING POOL ON LOT 01359T TS24 AT 44 MOUNT ECHO PARK, SINGAPORE 248795|17/10/2014
A1937-00051-2013-CS02|PROPOSED NEW ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSEWITH AN ATTIC AT 54 JALAN LEBAN ON LOT(S) 01603T  MK18 AT 54 JALAN LEBAN SINGAPORE 577591|09/10/2014
A1454-01211-2012-CS02|PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH ATTIC, BASEMENT AND SWIMMING POOL ON LOT 01222L MK 02 AT 5F TANGLIN HILL|01/10/2014
A1694-00239-2013-CS01|PROPOSED 6-STOREY RESIDENTIAL FLAT DEVELOPMENT (TOTAL: 54 UNITS) WITH 1ST STOREY COMMERCIAL SHOPS (TOTAL: 36 UNITS), BASEMENT CARPARKS, SWIMMING POOL AND COMMUNAL FACILITIES ON LOTS 00715K, 00716N, 00717X, 00718L, 00719C, 00720X, 01034A, 01035K, 01036N, 00422X-PT, 02690W-PT, 02133C-PT, 02757C-PT, & 099921N-PT TS 17 AT 1 MARNE ROAD (KALLANG PLANNING AREA)|10/10/2014
A0571-00029-2013-CS02|PROPOSED NEW ERECTION OF 2-STOREY DETACHED DWELLING HOUSE WITH A SWIMMING POOL ON LOT 00582N MK16 AT 128A JALAN KAMPONG CHANTEK (BUKIT TIMAH PLANNING AREA)|13/10/2014
A0781-00005-2012-CS04|PROPOSED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING OF 3 BLOCKS OF 24-STOREY APARTMENTS (TOTAL: 483UNITS) WITH LANDSCAPE DECK, SKY TERRACES, COMMON BASEMENT (PART UPPER BASEMENT/PART LOWER BASEMENT CARPARKS) AND COMMUNAL FACILITIES ON LOT 02595V MK 16 AT CHESTNUT AVENUE (BUKIT PANJANG PLANNING AREA) ON LOT 02595V MK16 AT , CHESTNUT AVENUE, SINGAPORE 679517|01/10/2014
A1220-00005-2012-CS01|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 2 BLOCKS OF 16-STOREY RESIDENTIAL BUILDING (TOTAL 292 UNITS), 1 BLOCK OF ESS, COMMUNITY FACILITIES AND PRECINCT PAVILION AT BUANGKOK GREEN (HOUGANG NEIGHBOURHOOD 5 CONTRACT 23) ON LOT(S) 08878V  MK22 AT BUANGKOK GREEN SINGAPORE 000000|03/10/2014
A0781-00007-2007-CS03|PROPOSED COMMERCIAL & RESIDENTIAL DEV'T COMPRISING 1 BLK OF 54-STY FLATS (510 UNITS), 1 BLK OF 23-STY OFFICE BLDG, 2 BASEMENTS (M&E, CAR PARK & SERVICES),  7-STY  PODIUM (2-STY COMMERCIAL & 5-STY CAR PARKS) WITH SWIMMING POOL & COMMUNAL FACILITIES ON LOT 00080T TS 30 AT NO. 5 SHENTON WAY (DOWNTOWN CORE PLANNING AREA)|07/10/2014
A1876-00150-2014-CS01|PROPOSED NEW ERECTION OF 2 STOREY DETACHED HOUSE WITH ATTIC AT 7E JALAN BERJAYA ON LOT(S) 99948W  MK18 AT 7E JALAN BERJAYA SINGAPORE 578606|08/10/2014
A0969-01307-2013-CS01|PROPOSED ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH A BASEMENT AND ATTIC ON LOT(S) 01861A  MK18 AT 93 SEMBAWANG HILLS DRIVE SINGAPORE 575939|07/10/2014
E4499-05001-2013-CD03|PROPOSED RECONSTRUCTION OF THE EXISTING SINGLE-STOREY INTERMEDIATE TERRACE DWELLING HOUSE TO A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ATTIC MK27 ON LOT 97999C AT 6 DAFNE STREET (BEDOK PLANNING AREA)|07/11/2014
A1252-00482-2011-CD03|PROPOSED CONSERVATION OF CAPITOL THEATRE, CAPITOL BLDG &  STAMFORD HSE AS PT 3/4-STY HOTEL (157 RM), ERECTION 2-STY COMMERCIAL PODIUM WITH 12-STY RESI FLATS (39 UNITS) 2 BASEMENT FOR SHOPPING WITH UNDERGROUND PEDESTRIAN MALL & 4 BASEMENT CARPARKS AT STAMFORD/NORTH BRIDGE ROAD ON LOT(S) 00333W PT, 00335P PT, 00337A SL PT, 00339N SL PT, 00346M , 00381W SL PT, 00383P , 80001L  & 99876C SL PT TS10 AT NORTH BRIDGE ROAD SINGAPORE 000000,  STAMFORD ROAD SINGAPORE 000000|07/11/2014
A2371-01402-2014-CD01|PROPOSED RECONSTRUCTION TO AN EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSEWITH ADDITIONAL 3RD STOREY ON LOT 02898P MK05 AT 62 TOH YI DRIVE SINGAPORE 596538 (BUKIT TIMAH PLANNING AREA)|03/11/2014
A1905-00109-2013-CD02|PROPOSED FLAT DEVELOPMENT COMPRISING THE ERECTION OF 2 BLOCKS OF 5-STOREY RESIDENTIAL APARTMENT WITH ATTIC (TOTAL: 58 UNITS), CARPARKS AND COMMUNAL FACILITIES ON LOT(S) 03021K  MK23 AT JALAN SINGA SINGAPORE 123456|06/11/2014
A1525-00007-2011-CD05|PROPOSED ERECTION OF A 5-STOREY RESIDENTIAL FLATS WITH AN ATTIC (36 UNITS) DEVELOPMENT WITH A SWIMMING POOL AND COMMUNAL FACILITIES ON LOT 97542W MK 26 AT 25 LORONG M TELOK KURAU (BEDOK PLANNING AREA)|19/11/2014
A1199-14002-2014-CD01|PROPOSED NEW ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 06427N MK 18 AT 11 MAYFLOWER PLACE SINGAPORE 568692|07/11/2014
A0449-00029-2014-CD01|PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH A BASEMENT, AN ATTIC AND A SWIMMING POOL ON LOT 4959W MK04 AT 35 MARYLAND DRIVE (BUKIT TIMAH PLANNING AREA)|26/11/2014
A1252-00436-2007-CD03|PROPOSED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 12 BLOCKS OF 12/13/14 STOREY RESIDENTIAL FLATS (892 UNITS) WITH 1 BASEMENT CARPARK, SWIMMING POOL & COMMUNAL FACILITIES ON LOT 2816C MK 29 AT PASIR RIS GROVE & PASIR RIS DRIVE 8|12/11/2014
A1138-00043-2014-CD01|PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH A BASEMENT AND ATTIC ON LOT 00818K MK 05 AT 12 SUNSET TERRACE (CLEMENTI PLANNING AREA)|27/11/2014
A1379-00002-2014-CD01|PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC, A BASEMENT AND SWIMMING POOL ON LOT 01211A TS 25 AT 24 WHITE HOUSE PARK SINGAPORE 257608 (TANGLIN PLANNING AREA)|04/11/2014
A1370-00001-1998-CD01|PROPOSED ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC AND BASEMENT ON LOT 00161N MK 19 AT 9 JALAN SANKAM (SEMBAWANG PLANNING AREA)|12/11/2014
A1877-00001-2011-CD04|PROPOSED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING OF 2 BLOCKS OF 30-STOREY & 2 BLOCKS OF 29-STOREY RESIDENTIAL APARTMENTS AND 2 BLOCKS OF 3-STOREY & 1 BLOCK OF 2-STOREY STRATA TERRACES (843 APARTMENT UNITS & 19 STRATA TERRACES) WITH BASEMENT CARPARK, 6-STOREY MSCP, ELECTRICAL SUBSTATION, SWIMMING POOL AND COMMUNAL FACILITIES.ON TS 17 LOT 2804V AT BENDEMEER ROAD / WHAMPOA EAST SINGAPORE ON LOT(S) 2804V  TS17 AT 8 WHAMPOA EAST EIGHT RIVERSUITES SINGAPORE 338520|18/11/2014
A1318-10119-2012-CD03|PROPOSED ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC AND SWIMMING POOL AT 38 JALAN BANGAU ON LOT(S) 03668P  MK18 AT 38 JALAN BANGAU SINGAPORE 809382|14/11/2014
A0930-00002-2013-CD02|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 1 BLKS OF 25-STOREY RESIDENTIAL BUILDING (TOTAL 408 UNITS) WITH MSCP, COMMERCIAL, PRECINCT PAVILION & ESS AT SIN MING AVE (BISHAN C38) ON LOT(S) 14241P  MK18 AT 1 SIN MING AVENUE SINGAPORE 570000|17/11/2014
A1553-00107-2011-CD03|PROPOSED ERECTION OF 21 UNITS OF 3-STOREY STRATA TITLED TERRACE DWELLING HOUSES WITH BASEMENT CARPARK, ATTIC, AND SWIMMING POOL ON LOTS 06398K MK-26 AT NO. 63 - 73C LORONG M TELOK KURAU (BEDOK PLANNING AREA)|18/11/2014
A1872-00672-2014-CD01|PROPOSED ERECTION OF A 2-STOREY INTERMEDIATE TERRACE HOUSE WITH AN ATTIC AND A OPEN ROOF TERRACE ON LOT 01331L MK 17 AT 77 JALAN GIRANG SINGAPORE 359246|17/11/2014
A1403-00005-2014-CD01|PROPOSED NEW ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC, A BASEMENT AND A SWIMMING POOL ON LOT 99260K MK18 AT NO.10 RIPLEY CRESCENT, SINGAPORE 556188 (SERANGOON PLANNING AREA)|17/11/2014
A1753-00219-2014-CD02|PROPOSED ERECTION OF A 2 STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC AND A BASEMENT ON LOT 01358K MK 15 AT NO.151 THOMSON RIDGE (BISHAN PLANNING AREA)|13/11/2014
A1420-01741-2012-CD01|PROPOSED ERECTION OF CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 8 BLOCKS OF 5-STOREY RESIDENTIAL FLATS (TOTAL 260 UNITS) WITH ATTIC, BASEMENT, COMMUNAL FACILITIES AND SWIMMING POOL ON LOT 04317W MK05 AT 19/19A TOH TUCK ROAD (BUKIT TIMAH PLANNING AREA)|27/11/2014
A1614-00382-2014-CD02|PROPOSED ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 01725K MK 18  AT NO 30 JALAN CHENGAM  SINGAPORE 578313(ANG MO KIO PLANNING AREA)|25/11/2014
