TITLE|BUILDER|PROFESSIONAL ENGINEER|ARCHITECT
PROPOSED A & A INCLUDING CHANGE OF USE TO THE EXISTING LIGHT INDUSTRIAL FLATTED FACTORY (TECHLINK) ON LOT 05222X MK23 AT 31 KAKI BUKIT ROAD 3|ZAW LIN , BOON TIAN CONTRACTOR PTE LTD|Ang Tien Sin|GOH KEE SIONG
PROPOSED ADDITIONS AND ALTERATIONS INVOLVING TENANCY WORKS TO UNIT #B1-138/139/140 & #01-60/61/62, MARINA BAY SANDS INTEGRATED RESORT ON LOT 256A TS30 AT NO. 2 BAYFRONT AVENUE SINGAPORE 018972|FION NG KING HOON , Grandwork Interior Pte Ltd|CHENG SOOK MEI|OLIVIA TEO SIEW CHOO
PROPOSED DEMOLITION OF EXISTING BUGGY SHED AT EXISTING SERAYA PETROCHEMICALS COMPLEX ON LOTS 979C, 980X, 9811-PT, 984W, 1238M,1239W, 1240C, 1241M, 1242W, 1267L, 1276T, 1278K & PART OF STATE FORESHORE (PLOT A13409, A13409B TO A13409J, A19274 & A19274A TO A1|VIJAYAN RAJASUNDAR , NEW WEST COAST PTE LTD|YEO HONG ENG|
PROPOSED ADDITION & ALTERATION WORKS TO EXISTING SINGLE-USER FACTORY INVOLVING EXTENSION OF A 3-STOREY PRODUCTION BUILDING AND ANCILLARY DIESEL TANK ON LOTS 01301K & 01300A MK 06 AT 33 & 37 QUALITY ROAD, SINGAPORE|WONG SIEW CHONG , QUADUNION BUILDERS PTE LTD|ER. LIU XIAN MING|
PROPOSED CONSTRUCTION OF TOILET AT EXISTING RESIDENT'S CORNER AT BLK 203C COMPASSVALE ROAD ON LOT 01148T MK 21|ANG SOH KHIM , HUA CHANG CONSTRUCTION PTE. LTD.|POH CHER SENG|ANDREW LOH CHEE KAN
PROPOSED ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 331L MK 22, AT 17 TEOW HOCK AVENUE, SINGAPORE 545703|DIMAYUGA JOSEPH PAOLO ILAGAN , BUILDTECH CONSTRUCTION PTE. LTD.|MR ANG SWEE AIK JOSEPH|MR HO POH KONG
PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 10 BLOCKS OF 14-STOREY, 3 BLOCKS OF 15-STOREY AND 1 BLOCK OF 16-STOREY RESIDENTIAL BUILDING (TOTAL : 1578 UNITS) WITH 2 BLOCKS OF MULTI-STOREY CARPARK WITH COMMERCIAL FACILITIES, CHILD CARE CENTRE, ESS, PRECIN ON LOT 4929W MK10 AT BUKIT BATOK ROAD|YE XIN XIANG , CHINA CONSTRUCTION (SOUTH PACIFIC) DEVELOPMENT COMPANY PTE LTD|LIEW VE KOON|CHOY MENG YEW
PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 5 BLOCKS OF 27/40/48-STOREY RESIDENTIAL BUILDING (TOTAL 1232 UNITS) WITH MULTI-STOREY CARPARK, COMMERCIAL / COMMUNITY FACILITIES, ESS & PRECINCT PAVILION AT HENDERSON ROAD / TIONG BAHRU ROAD (BT. MERAH RC53) ON LOT 01012N, 01017W, 02355A, 02792N & 02887V MK01 AT HENDERSON ROAD|Sri Ganesh s/o Taranam , Straits Construction Singapore Pte Ltd|Loh Kar Kheng|MOHD ASADUZ ZAMAN
PROPOSED ADDITION OF 3-STOREY ASIA PILOT PLANT TO EXISTING SINGLE USER NUTRITIONAL MANUFACTURING PLANT ON LOT 03857N (PLOT A2176500), MK 7 AT 26 TUAS SOUTH AVENUE 10|TAI SIEW NEO , ICON ENGINEERING SERVICES PTE LTD|YAP KEN KUO|LEE KUT CHEUNG
PROPOSED A/A WORKS TO NEW FAIRPRICE SUPERMARKET AT BLOCK 345 JURONG EAST ST 31 #01-29 SINGAPORE 600345 AT JURONG EAST STREET 31|TAN LIAN SEE , MEGABUILDERS & DEVELOPMENT PTE. LTD.|LOH LEE HIANG|
PROPOSED ERECTION OF A NEW 16-STOREY HOTEL DEVELOPMENT CONSISTING OF HOTEL AND COMMERCIAL USES, AN INTEGRATED MULTI-STOREY CAR PARK AND ANCILLARY FACILITIES AND A&A TO AN EXISTING 2-STOREY CONSERVATION BUILDING ON LOT 10171P MK26 AT 86, EAST COAST ROAD (MA|Harry Ho Kok Beng , MASTER CONTRACT SERVICES PTE LTD|WONG SENG|YAP WENG SENG
PROPOSED DEVELOPMENT COMPRISING OF 8 STOREY BLOCK FOR ENERGY FROM WASTE WITH RAMP UP TO UNLOADING HALL AND ANCILLARY FACILITIES, A SUBSTATION AND GUARD HOUSE ON LOT 2225C PT MK 34 AT SAKRA ROAD, JURONG ISLAND (WESTERN ISLANDS PLANNING AREA)|LEE YOON DON , HYUNDAI ENGINEERING & CONSTRUCTION CO. LTD|XU CHUANXI|
PROPOSED NEW ERECTION OF MULTIPLE-USER INDUSTRIAL DEVELOPMENT COMPRISING OF 9-STOREY RAMP-UP FACTORY BUILDING (TOTAL 160 UNITS) A TEMPORARY ANCILLARY STAFF CANTEEN (TOTAL 1 UNIT) AND OTHER ANCILLARY FACILITIES ON LOT 6051N MK13 AT WOODLANDS AVE. 10|LEE SOO CHIN , STRATEGIC ENGINEERING & CONSTRUCTION PTE LTD|RAYMOND YONG YEEN SAN|GRACE YOUNG KOK INN
PROPOSED ADDITION AND ALTERATION TO THE EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH ADDITION OF AN ATTIC ON LOT 00328K TS 24 AT NO. 6 JALAN ARNAP (RIVER VALLEY PLANNING AREA) SINGAPORE 249312|PARAMASIVAM STALIN , ALFA UNITED DESIGN & CONSTRUCTION PTE. LTD.|TANG ING HUA|
PROPOSED NEW ERECTION OF ORCHARD BOULEVARD MRT STATION ON LOT 01587K, 01598P, 01749N, 01750A, 01788W, 01789V, 01845M, 01886N, 02086N & 02087X TS24 AT ORCHARD BOULEVARD|LEONG SHI JUN , KTCCE|Chang Choon Meng,Hu Yangfu|YEO SIEW HAIP
PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING 11-STOREY HDB RESIDENTIAL BLOCK ON LOT 03016W MK 13 AT 893A WOODLANDS DRIVE 50 #06-121 SINGAPORE 730893|YEO SIEW HONG , HAS CONCEPT PTE. LTD.|CHIN CHEE WAI|
PROPOSED ERECTION OF A SINGLE-STOREY GREENHOUSE BUILDING ON LOT 01796X MK 12 AT 3 PERAHU ROAD|WONG CHUN KIAT THOMAS , SWEE BUILDERS PTE LTD|WEE KAY CHARN|
PROPOSED ADDITION OF EXHAUST STACK ON THE EXISTING ROOF OF THE SINGLE-STOREY FUEL CELL FACILITY AT THE INSTITUTE OF CHEMICAL AND ENGINEERING SCIENCES ON LOTS 01046M & 02822M MK 34 AT PESEK ROAD|TAN CHOR PENG DANIEL , TCP GLOBAL PTE. LTD.|LIM BENG WOON|
PROPOSED ERECTION OF A 3-STY AIRPORT TERMINAL BUILDING (TERMINAL 4) WITH 2 MEZZANINE FLOORS, A BASEMENT AND A DEPARTURE HOLDING AREA, A 5-STY MULTI-STOREY CARPARK, A 2-STY TAXI HOLDING AREA, 2 OVERHEAD VEHICULAR BRIDGE AND A PEDESTRIAN OVERHEAD BRIDGE ON LOT 5835T, 1298K, 1301C, 1327X, 1328L, 3375T, 3622W, 4594L & 4596M MK31 AT AIRPORT BOULEVARD|SHIBUTA SHOICHIRO , TAKENAKA CORPORATION|CHONG SENG LAI|YEO SIEW HAIP
PROPOSED ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 01406T MK 27 AT NO.42 NORMA TERRACE(BEDOK PLANNING AREA)|TAN CHONG YONG , HART YAO CONSTRUCTION PTE LTD|NG SENG BUAN|LIM KOON YONG
PROPOSED NEW ERECTION OF 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH BASEMENT ON LOT 06480P MK05 AT 41 TOH TUCK DRIVE|CHUA WAH NGEE ALAN , BENG HWA BUILDERS PTE LTD|CHEW TAI SOON STEVEN|NEO SEI HWA
PROPOSED STRENGTHNING WORK INVOLVING REMOVAL OF A RC COLUMN AT 1ST STOREY TO SECOND STOREY TO EXISTING SEMI DETACHED HOUSE AT NO 7 SPRING LEAF HEIGHT ON LOT 01942K MK20 AT SPRINGLEAF HEIGHT|SOOSAIPILLAI ARULANANDAM , K7 RENOVATION & PLUMBING CONTRACTOR PTE. LTD.|M.SIVAKUMARAN|
PROPOSED NEW ERECTION OF A 2-STOREY SEMI-DETACHED HOUSE WITH A BASEMENT AND AN ATTIC ON LOT 98973X MK 18 AT 136 SERANGOON GARDEN WAY, SINGAPORE 556038|Lim Kim Meng , As-Built Pte Ltd|ALEC CHEW KHEK HAN|LIM CHAI HENG
PROPOSED ERECTION OF A BLOCK OF 8 STOREY RESIDENTIAL FLAT DEVELOPMENT WITH ATTIC (TOTAL 112 UNITS), SURFACE AND MECHANICAL CAR PARK AND PROVISION FOR A SWIMMING POOL ON LOT 03059T MK 25 AT LORONG 20 GEYLANG (GEYLANG PLANNING AREA)|SUBBIAH KARTHIKKUMAR , AUTHENTIC BUILDER PTE. LTD.|Tai Siew Neo|CHAN SZE CHIN
PROPOSED RECLAMATION AT TUAS FINGER ONE ON LOT 04578N MK07 AT TEMP ROAD NAME|Lee Jong Chan , Hyundai/Samsung/Penta-Ocean/Boskalis/Van Oord Joint Venture|LEE HIANG MENG,Law Kong Hoi|
PROPOSED REPAIR OF EXISTING LINKWAY TO THE EXISTING SINGLE-USER FACTORY ON LOT 01795C MK 31 AT 23 LOYANG WAY, SINGAPORE 508726|QUEK GEOK KENG , JUHO CONSTRUCTION PTE LTD|KONG KAM CHEONG|
PROPOSED  ERECTION OF 16 BLOCKS OF 5 STOREY CONDOMINIUM (TOTAL 414 UNITS)) WITH ATTIC, BASEMENT CARPARK, SWIMMING POOL AND COMMUNAL FACILITIES ON LOT 9427L MK  22 AT HOUGANG AVENUE 2 OFF PARK VILLA RISE|ER ANG HOOA , KEONG HONG|ER M SIVAKUMARAN|MR NG HOE THEONG
PROPOSED ADDITIONS & ALTERATIONS TO EXISTING MULTI-STOREY CARPARK BLOCKS 541A & 552A WITH NEW LIFTS / LIFT LOBBIES AT CHOA CHU KANG STREET 52 (LIFT INSTALLATION PROGRAMME TO EXISTING MSCP) ON LOT 1703A, 1706X, 1718K, 1728V & 2471T MK11 AT 541A CHOA CHU KANG STREET 52, 552A CHOA CHU KANG STREET 52|LEE HOCK EN , UNION CONTRACTORS (S) PTE LTD|ZONG DESHUI|ANG MAE-LI
PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING SINGAPORE MANUFACTURING PLANT (PHASE 1 COMPRISING TANKAGES) FOR CHEVRON ORONITE PTE LTD, CARBOXYLATE PROJECT ON LOT 1078W & 1706K MK34 AT 21 SAKRA ROAD|FOON LANG YONG , FOSTER WHEELER ASIA PACIFIC PTE LTD|HWANG TENG SUN|HWANG TENG SUN
PROPOSED ERECTION OF A 5-STOREY SINGLE-USER GENERAL INDUSTRY FACTORY BUILDING COMPRISING 3 LEVELS OF PRODUCTION AREA AND 2 LEVELS OF ANCILLARY OFFICE AT 14 GUL AVENUE ON LOT 00306P MK07 AT 14 GUL AVENUE|CHAN SOON KONG , CS BORED PILE SYSTEM PTE LTD|TAN HOOI KIAT|LEE CHEE PENG
PROPOSED RECONSTRUCTION TO AN EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE TO 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 02998W MK 06 AT NO 7 YUNNAN WALK 1|TAN KAY WEE , SIN HOCK KEONG CONSTRUCTION PTE LTD|TAY AIK JIUN|YEO AIK KHOON
PROPOSED STRENGTHENING WORKS TO THE EXISTING RC BEAMS AT LEVEL 2 OF ANG MO KIO MRT STATION ON MK 18 LOT 11578K AT 2450 ANG MO KIO AVENUE 8 ON LOT 11578K MK18 AT 2450 ANG MO KIO AVENUE 8|NG WEE SENG , RN & ASSOCIATES PTE LTD|WEE BOON LIANG|
PROPOSED ERECTION OF A 40-STOREY COMMERCIAL BUILDING WITH  OFFICES, 3 BASEMENTS FOR CARPARK AND ANCILLARY SERVICES ON LOT 00503A TS01 AT 138 MARKET STREET|SHIBUTA SHOICHIRO , TAKENAKA CORPORATION|LEE CHI KUAN|LEE KUT CHEUNG
PROPOSED ERECTION OF A SINGLE-USER COMMON FACILITIES @ SINGAPORE LUBE PARK CONSISTING OF TANKFARMS, ANCILLARY OFFICE/ELECTRICAL SUB-STATION, CENTRAL CONTROL ROOM/ELECTRICAL SUBSTATION AND OTHER ANCILLARIES ON LOT 4659V MK07 AT TUAS SOUTH AVENUE 5|TAN TECK SENG , ROTARY ENGINEERING LTD|LIM ENG LEONG|
PROPOSED 19-STOREY COMMUNITY HOSPITAL INCLUDING THE CAMPUS LOGISTICS CENTRE, OFFICES WITH 4 BASEMENTS ON LOT 03337V MK01 (PT) AT SINGAPORE GENERAL HOSPITAL ALONG JALAN BUKIT MERAH & KAMPONG BAHRU ROAD  (BUKIT MERAH PLANNING AREA)|Li Bing Jiang ,|Ng Boon Hoo|THAM TUCK CHEONG
PROPOSED ERECTION OF 5-STOREY SINGLE-USER INDUSTRIAL DEVELOPMENT WITH ROOF TERRACE ON LOT 05300W MK24 AT NO.7 PLAYFAIR ROAD|Loi Teck Han , Rich-link Construction Pte Ltd|Lim Wai Sing|LAU CHEE MENG
CONTRACT RP137 EMAS ARTERIAL VMS (GENERAL) ON LOT 00540V TS13 AT NICOLL HIGHWAY|THAN SOE AYE , IBUILDERS PTE LTD|TAN CHARNG CHERNG|
PROPOSED RECONSTRUCTION OF EXISTING BUS SHELTER (65349) ON LOT 02145C PT MK 21 ALONG PUNGGOLFIELD FRONTING BLK 272C|PEH CHONG ENG , PRECISE DEVELOPMENT PTE. LTD.|NG DICK YOUNG|
PROPOSED LINKWAY FROM BUS STOP TO BLOCK 647 YISHUN STREET 61ON LOTS 02608X , 01583L AND 01517X MK 19|YEE BENG KUAN , YEE CONSTRUCTION AND RENOVATION PTE. LTD.|LENG KWEK MIN|TAY POH LOONG
PROPOSED ADDITIONS AND ALTERATIONS WORKS TO EXISTING 3-STOREY SEMI-DETACHED WITH PROVISION OF AN ATTIC AND ROOF TERRACE ON LOT 02334W MK 19 AT 72 SPRINGSIDE AVENUE SINGAPORE 786666|WONG CHYONG LEE , PNG CONSTRUCTION PTE. LTD.|Tiong Hoo Tuong|SELVANAYAGAM NADARAJAH
PROPOSED WIDENING OF TAMPINES STREET 82(PART) & CONSTRUCTION OF ROAD EXTENSION FROM TAMPINES STREET 82 TO TAMPINES AVENUE 5 ON LOT 03993V, 05829VPT, 05971TPT, 05972A, 05973KPT, 06035APT, 06036KPT & 06074CPT MK28 AT TAMPINES STREET 82|JIA LI JUN , Wai Fong Construction Pte Ltd|TAN ENG HOW|
PROPOSED ERECTION OF 2 BLOCKS OF 6 STOREY FLATS  (TOTAL 41 UNITS) WITH  BASEMENT FULLY AUTOMATED MECHANICAL CARPARKING AND PROVISION FOR A SWIMMING POOL.(NEWTON PLANNING AREA) ON LOT 01008V TS27 AT 63 CAVENAGH ROAD|WONG MENG LIK , ASIABUILD ENGINEERING & CONSTRUCTION PTE. LTD.|Tan Kheng Soon|QUEK LENG LENG
PROPOSED ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 2536X MK 26 AT 58 DUKU ROAD|Lim Seng Heng , PM Builders Pte LTd|Siew Kim Choi|GOH CHUAN CHYE
CONSTRUCTION OF CHASSIS PARK AND TRAINING AREA INCLUDING TWO STOREY BUILDING ON MK03 LOT 4059A(PT), 4695M(PT), 4846T, 4949T, 4999K, 5020K, 5087M, 5089V, 5094T(PT), 5095A & MK34 3049C AT PASIR PANJANG TERMINAL. ON LOT 05089V & 05095A MK03 AT PASIR PANJANG ROAD|Liau Lian Hock , KOON CONSTRUCTION & TRANSPORT CO. PTE. LTD.|Kang Wee Ping|Tai Wee Fook
PROPOSED ERECTION OF A BLOCK OF 15 STOREY RESIDENTIAL FLAT DEVELOPMENT (TOTAL : 74 UNITS) WITH PENTHOUSES, SKY TERRACE, SWIMMING POOL, CAR PARKS AT BASEMENT 1 & MECHANICAL CAR PARK AT BASEMENT 2 TS 29 ON LOTS 00606X & 00607L -PT AT 8 BASSEIN ROAD (NOVENA P|TEH HEAK LEONG , AUTHENTIC BUILDER PTE. LTD.|Dong Weibin|KO SHIOU HEE
PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING 2-STOREY SINGLE-USER JTC STANDARD TYPE C8 FACTORY ON LOT 2608P  MK 7 AT NO 4 TUAS LINK 1 SINGAPORE 638591|WONG WAHLOON , KNW BUILDERS|GARY NG WEE GIAP|LIM KIM NGIAP
PROPOSED ERECTION OF 2-STOREY DETACHED DWELLING HOUSE  WITH A BASEMENT, AN ATTIC AND SUNKEN SWIMMING POOL ON LOT 95008L MK26 AT 5 FRANKELSTREET, SINGAPORE 458046|LIU YU , J W BUILDING CONSTRUCTION PTE. LTD.|TEO THIAN POH|LOO KOK HOO
PROPOSED STEEL RUNWAY AND COLUMNS FOR THE 1 UNIT OF 1&2 TONS OVERHEADCRANE TO AN EXISTING FACTORY. ON LOT 830V MK06 AT 10 LOK YANG WAY|MUHAMMAD KHAIDIR BIN MOHAMED AMIN , MHE-DEMAG (S) PTE LTD|CHEANG JEN BOON|
PROPOSED  ERECTION OF 16 BLOCKS OF 5 STOREY CONDOMINIUM (TOTAL 414 UNITS)) WITH ATTIC, BASEMENT CARPARK, SWIMMING POOL AND COMMUNAL FACILITIES ON LOT 9427L MK  22 AT HOUGANG AVENUE 2 OFF PARK VILLA RISE|ER ANG HOOA , KEONG HONG|LIM CHIN PAU|MR NG HOE THEONG
PROPOSED ADDITIONS AND ALTERATIONS TO THE EXISTING 6-STOREY STUDENT SERVICE CENTRE BUILDING AT NANYANG TECHNOLOGICAL UNIVERSITY ON MK08 LOTS 00173W, 00174V, 00175P, 00176T, 00177A, 00178K, 00179N, 00180A, 00181K, 00182N, 00183X, 00184L, 00185C, 00186M, MK0 ON LOT 00174V, 00177A, 00179N, 00180A, 00181K, 00182N, 00183X, 00385A & 00392L MK09 AT NANYANG AVENUE|CHEW CHUAN HAI , KJS CONSTRUCTION PTE LTD|Sam Chang Loung|CHUNG TEIK KEONG
PROPOSED ADDITIONS AND ALTERATIONS TO THE EXISTING SUNTEC CITY CONVENTION CENTRE AND RETAIL PODIUM, COMPRISING WORKS TO BASEMENTS 1, 2 AND STOREYS 1 TO 9 ON LOT 00904X TS11 AT TEMASEK BOULEVARD (DOWNTOWN CORE PLANNING AREA)|AHN KYOUNG TAE , SAMSUNG C&T CORPORATION|LIM KEAN TEONG|TONY ANG KONG SIONG
PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING PRINCESS ELIZABETHPRIMARY SCHOOL AND ADDITION OF A NEW 2-STOREY INDOOR SPORTS HALLWITH 4-STOREY ANNEX ON LOT 02080C PT MK 10, 30 BUKIT BATOK WEST AVENUE 3 SINGAPORE 659163  (BUKIT BATOK PLANNING AREA)|Lai Kim Yung , Logistics Construction Pte Ltd|SOO YET CHUNG|KIM LOH FONG
PROPOSED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 18 BLOCKS OF 5 STOREY RESIDENTIAL UNITS WITH BASEMENT STOREY CARPARK BUILDING PLUS ATTIC, SWIMMING POOL, AND ANCILLARY FACILITIES (TOTAL=410 UNITS) ON LOT 3340V MK19 AT MILTONIA CLOSE|Yheng Yee Foon , Straits Construction Singaporre Pte Ltd|Lim Kean Teong|LAURENCE TAN JER KIAT
PROPOSED ERECTION OF YALE-NUS COLLEGE CAMPUS COMPRISING OF RESIDENTIAL COLLEGES 1,2,3,1 BLOCK OF 2-STOREY PERFORMANCE ARTS BUILDING, 1 BLOCK OF 4-STOREY SPORTS HALL/LIBRARY/ ADMINISTRATION AND SCIENCE TEACHING BUILDING. MK03 ON LOT 04564P DOVER ROAD (QUEEN|HAN SEUNG PYO , SSANGYONG ENGINEERING & CONSTRUCTION CO LTD|TAN CHARNG CHERNG|TAN KOK HIANG
PROPOSED ERECTION OF 2-BLKS 30-STY OFFICE,2-BLKS 34-STY RESI BLDGS (TOTAL 1042 UNITS) 3-STY COMMERCIAL PODIUM,4-LEV BASEMENT CARPARKS WITH UNDERGROUND PEDESTRIAN/SHOPPING MALL ON URA LAND PARCELS A1-A13, TS30,STRAITS VIEW/MARINA WAY(DOWNTOWN CORE) ON LOT 273A, 359A, 361T, 362A, 363K, 364N & 401P TS30 AT STRAITS VIEW|GENG SHICHENG , MERO Asia Pacific Pte Ltd|D.A. GUNASEELAN|MICHAEL NGU
PROPOSED ADDITIONS AND ALTERATIONS WORK AT EXISTING TEMPORARY 5-STOREY INDEPENDENT MULTI-STOREY CARPARK TO BE READY FOR EMERGENCY TEMPORARY FLU SCREENING AREA AT OUTRAM MEDICAL CAMPUS AT MACALISTER ROAD ON LOT 03334C & 0337V MK01 AT MACALISTER ROAD|KOH GIM SIEW , TKS ENGINEERING PTE LTD|WONG JIN KOK|
PROPOSED NEW ERECTION OF 4-STOREY OFFICE BLOCK WITH PART 2-STOREY ANCILLARY AREA AND SINGLE STOREY SHIPYARD FACTORY ON LOT 04415LPT MUKIM 7 AT TUAS SOUTH STREET 15.|MOK THAI KOON , Builders 265 Pte Ltd|AW BOON LEONG|LUA KOK LEONG
PROPOSED ADDITION OF STAIRCASE TO UNIT#03-00 AT GOLDEN MILE TOWER AT 6001 BEACH ROAD SINGAPORE 199589 ON LOT 00356P TS15 AT 6001 BEACH ROAD|CHU KIM CHAN , ALTITUDE CONSTRUCTION & TRADING CO. PTE LTD|TAN JIOK SAW|
PROPOSED ADDITION OF 2 NOS OF COVERED LINKWAYS TO THE EXISTING 2-STOREY UNIVERSITY HEALTH SERVICE BUILDING LINKING TO THE EXISTING BUS SHELTER AND BLOCK S4 AT NANYANG TECHNOLOGICAL UNIVERSITY MK08 ON LOTS 00173W, 00174V, 00175P, 00176T, 00177A, 00178K, 001|Thiyaharaja Navin Raja , Hontage Development Pte Ltd|SAM CHANG LOUNG|CHUNG TEIK KEONG
PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING EXECUTIVE MAISONETTE UNIT AT BLOCK 103 TOWNER ROAD (UNIT #06-292) SINGAPORE 322103 AT 103 TOWNER ROAD|CHONG GOAK HOOI , LCK CONSTRUCTION PTE LTD|CHEONG KUAN LEONG|
PROPOSED ADDITION OF WATER TANK ROOM FOR THE INSTALLATION OF RAINWATER HARVESTING SYSTEM ATBLOCK 225A ON LOTS 04485W MK 05 AT JURONG EAST STREET 21 SINGAPORE (JURONG EAST PLANNING AREA)|HENG JOO MENG , YOLI ENGINEERING & CONSTRUCTION PTE LTD|TAN BIN KEONG|
DESIGN AND CONSTRUCTION OF NORTH - SOUTH CABLE TRANSMISSION TUNNEL (NS2) AT TEMP ROAD NAME|Hong Jihoon , SKEC|Cheng Ch'ng Yih,Peter Fang Ming Xie|
PROPOSED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING OF 8 BLOCKS OF 16-STOREY APARTMENTS (TOTAL: 630 UNITS) WITH SHOPS, COMMON BASEMENTS CARPARKS, LANDSCAPE DECK & COMMUNAL FACILITIES ON LOT 07270L MK 28 AT TAMPINES AVENUE 10|ENG KIM CHOOI , KIM SENG HENG ENGINEERING CONSTRUCTION (PTE) LTD|LOOI POH YUN|WONG TOON JIN
PROPOSED NEW ERECTION OF A  2-STOREY SEMI-DETACHED HOUSE WITH AN ATTIC ON LOT 03409W MK 18 AT 4 JALAN JITONG SINGAPORE 809118|NG CHIT CHONG , ACCRETEK PTE. LTD.|TEO JIN KWEE|SAMSON TAN BOON HUA
PROPOSED ADDITIONS & ALTERATIONS TO EXISTING YUHUA SECONDARY SCHOOL ON PT LOT 01918V, MK 06 AT 35 JURONG WEST STREET 41 ON LOT 01918V MK06 AT 35 JURONG WEST STREET 41|Ng Cheng Huat , Hytech Builders Pte Ltd|TEO JIN KWEE|GABRIEL ANTHONY VINCENT
PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 8 BLOCKS OF 13-STOREY RESIDENTIAL BUILDING (TOTAL 1220 UNITS), 1 BLOCK OF MULTI-STOREY CAR PARK WITH ESS, PRECINCT PAVILIONS & COMMUNITY FACILITIES AT CANBERRA STREET/ CANBERRA WAY/ CANBERRA CRESCENT (SEM N1C1 ON LOT 02008T & 02113P MK19 AT CANBERRA STREET|KOH KIN HUAT , CHIP ENG SENG CONTRACTORS (1988) PTE LTD|LAU TUNG NGIU|ONG LI CHING GIDGETELENA
PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 6 BLOCKS OF 19 / 20 / 21-STOREY RESIDENTIAL BUILDINGS (TOTAL 1000 UNITS), MSCP CUM EDUCATION CENTRE, PRECINCT PAVILION & COMMUNAL FACILITIES AT SUMANG WALK (PUNGGOL WEST CONTRACT 32) ON LOT 02588N MK21 AT 326 SUMANG WALK, 326A SUMANG WALK, 326B SUMANG WALK, 326C SUMANG WALK, 327A SUMANG WALK, 327B SUMANG WALK, 327C SUMANG WALK|See Toh Yew Choong , Ho Lee Construction Pte Ltd|LEE LEONG HOW|YUEN YI MAY
PROPOSED RECONSTUCTION TO THE EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE ON LOT 02122C MK 27 AT 66 JALAN TANAH PUTEH|SEAH CHONG KIAT , LIM SAN PTE. LTD.|CHUANG FERN|LEE CHEE PENG
PROPOSED CONSERVATION OF CAPITOL THEATRE, CAPITOL BLDG &  STAMFORD HSE AS PT 3/4-STY HOTEL (157 RM), ERECTION 2-STY COMMERCIAL PODIUM WITH 12-STY RESI FLATS (39 UNITS) 2 BASEMENT FOR SHOPPING WITH UNDERGROUND PEDESTRIAN MALL & 4 BASEMENT CARPARKS AT STAMFO ON LOT 00333W, 00335P, 00337A SL, 00339N SL, 00346M, 00381W SL, 00383P, 80001L & 99876C SL TS10 AT NORTH BRIDGE ROAD, STAMFORD ROAD|HAYATO TAKAHASHI , SHIMIZU CORPORATION|GARY NG WEE GIAP|MICHAEL NGU
PROPOSED FLUORIDE WASTE TREATMENT PLANT EXPANSION (CIVIL WORKS) ON LOT 3709L (PLOT A1496102 & A1496103) MK 13 AT NO. 1 WOODLANDS INDUSTRIAL PARK DSTREET 1, 738799 SINGAPORE|KOH TEO MONG , HAZAMA ANDO SINGAPORE PTE. LTD.|SOO CHEE SERN|
PROPOSED ERECTION OF A 28-STOREY COMMERCIAL BUILDING COMPRISING 1-LEVEL SKY TERRACE WITH 6 BASEMENT (1 LEVEL OF CARPARK & 5 LEVEL OF MECHANISED CARPARK SYSTEM) ON LOTS 00167X, 00485M, 00488P, 00616W, 00691X, 99280A, 99289P, 99287W TS 01 AT ROBINSON ROAD/ M|Vincent Chin Min Chin , L&M Foundation Specialist Pte Ltd|Samuel Kuan|MICHAEL NGU
PROPOSED CONVENTIONAL LANDED HOUSING DEVELOPMENT COMPRISING 6 UNITS OF 3 STOREY TERRACE HOUSES, 2 UNITS OF 3 STOREY SEMI-DETACHED HOUSES WITH BASEMENT AT EAST COAST TERRACE ON LOT 00742L & 95043C MK26 AT EAST COAST TERRACE|ONG SIAW MENG , INTERPRO CONSTRUCTION PTE LTD|GARY NG WEE GIAP|CHAN SZE CHIN
PROPOSED ERECTION OF 1 UNIT OF 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH ATTIC AND SWIMMING POOL ON LOT 02380V MK04 AT NO.69 MING TECK PARK (BUKIT TIMAH PLANNING AREA)|LEE MEI LOUN , EMMA CONTRACT PTE LTD|TEO JIN KWEE|RENE TAN
