PROJECT REFERENCE NUMBER|TITLE|LOCALITY|ARCHITECT|ENGINEER|DATE APPROVED
A1400-73401-2014-BP01|PROPOSED CONSTRUCTION OF COVERED LINKWAY FROM BLOCK 330 TO EXISTING LTA LINKWAY ALONG SERANGOON AVENUE 3 ON LOT NO. 06470W SL (HDB) MK 17|ON LOT(S) 06470W  MK17 AT 330 SERANGOON AVENUE 3|MR TAY POH LOONG DESIGN METABOLISTS|ER TAN BIN KEONG B K TAN CONSULTANTS|05/09/2014
A1400-73402-2014-BP01|PROPOSED IMPROVEMENT WORKS TO AMPHITHEATRE NEAR BLOCK 307 SERANGOON AVENUE 2 ON LOT NO. 11311N SL (HDB MK18|ON LOT(S) 11311N  MK18 AT 307 SERANGOON AVENUE 2|MR TAY POH LOONG DESIGN METABOLISTS||17/09/2014
A1403-00007-2012-BP01|PROPOSED RECONSTRUCTION TO AN EXISTING 3-STOREY DETACHED DWELLING HOUSE WITH AN ADDITION OF A BASEMENT AND A SWIMMING POOL ON LOT 4680M MK4 AT NO.19 CLEMENTI CRESCENT, SINGAPORE 599522 (BUKIT TIMAH PLANNING AREA)|ON LOT(S) 04680M  MK04 AT 19 CLEMENTI CRESCENT SINGAPORE 599522|MR AAMER TAHER AAMER ARCHITECTS|ER LIM PUAY CHOO CL CONSULTANT, ZHOU TONG QUAN TENWIT CONSULTANTS PTE LTD|16/09/2014
A1403-00004-2013-BP01|PROPOSED STRATA LANDED HOUSING DEVELOPMENT COMPRISING 6 UNITS OF 2-STOREY STRATA SEMI-DETACHED DWELLING HOUSES, EACH WITH ATTIC AND BASEMENT, AND A COMMUNAL SWIMMING POOL  ON LOT(S) 03462N  MK04 AT 30  JALAN HAJI ALIAS|ON LOT(S) 03462N  MK04 AT 30  JALAN HAJI ALIAS|MR AAMER TAHER AAMER ARCHITECTS|ER TAN JIOK SAW JS TAN CONSULTANTS  PTE LTD,ER NG DICK YOUNG SHAN YOUNG & TUAH CONSULTANTS LLP|29/09/2014
A1403-00009-2014-BP01|PROPOSED TOILET INTERIOR RENOVATION AT ZONE A & C OF CASINO AREA AS PART OF RESORTS WORLD AT SENTOSA DEVELOPMENT ON LOTS 424N, 459M, 554P PT, 570V PT, 571P PT, 581C, 582M PT, 1779P, 1783T, 1829L, 1830N PT, 1831X PT, & 1832L PT MK 34 AT SENTOSA|ON LOT(S) 00424N , 00459M , 00554P , 00570V , 00571P , 00581C , 00582M , 01179P , 01783T , 01829L , 01830N , 01831X  & 01832L  MK34 AT 8 SENTOSA GATEWAY RESORTS WORLD SENTOSA SINGAPORE 098269|MR AAMER TAHER AAMER ARCHITECTS||29/09/2014
A1403-00021-2012-BP01|PROPOSED NEW ERECTION OF A 3-STOREY CORNER DWELLING HOUSE WITH AN ATTIC AND A BASEMENT ON LOT 349V TS 27 AT 31 JALAN ELOK, SINGAPORE 229068, (NEWTON PLANNING AREA)|ON LOT(S) 00349V  TS27 AT 31 JALAN ELOK SINGAPORE 229068|MR AAMER TAHER AAMER ARCHITECTS|ER NG SENG BUAN S B NG & ASSOCIATES C E,ER LIM KIA WEE TERS CONSULTANTS|09/09/2014
A1409-00003-2010-BP01|PROPOSED ADDITIONS AND ALTERATIONS IN TANDEM WITH NEIGHBOURHOOD RENEWAL PROGRAMME (NRP) BATCH 2 TO EXISTING PUBLIC HOUSING BLOCK NO 109 TO 129  ON LOT(S) 01707T  & 01755T  MK31 AT PASIR RIS STREET 11|ON LOT(S) 01707T  & 01755T  MK31 AT PASIR RIS STREET 11|MISS GOH MUI NGIM, MABEL DESIGN LINK ARCHITECTS PTE LTD|ER OH CHOON CHYE OCC CONSULTANTS|15/09/2014
A1404-00397-2014-BP01|PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING BLOCK OF 25-STOREY RESIDENTIAL FLAT (TOTAL : 62 UNITS) WITH A BASEMENT CAR PARK, SKY TERRACE AND SWIMMING POOL INVOLVING ADDITION OF COVERS OVER THE ROOF TERRACES AT 24TH & 25TH STOREYS ON LOT 00736P TS28 A|ON LOT(S) 00736P  TS28 AT 2 SUFFOLK ROAD|MR CHAN SZE CHIN JGP ARCHITECTURE (S) PTE LTD|ER WONG KA HOW KH CONSULTANTS|05/09/2014
A1420-01770-2013-BP01|PROPOSED NEW ERECTION OF 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH ATTIC ON LOT(S) 00916M  MK04 AT 14 JALAN TENANG|ON LOT(S) 00916M  MK04 AT 14 JALAN TENANG|MR ONG TZE BOON ONG&ONG PTE LTD|ER MAH GUAN PANG MABA ENGINEERING CONSULTANTS,ER TING LEONG HING COLIN JIB SPECIALIST CONSULTANTS PTE LTD|16/09/2014
A1420-01023-2010-BP02|PROPOSED ERECTION OF PART 2/3-STOREY EXTENSIONS AND ADDITIONS & ALTERATIONS TO THE EXISTING SINGLE-STOREY DETACHED DWELLING HOUSE WITH SWIMMING POOL MK04 ON LOTS 01062W, 99566N AT 727 & 729 BUKIT TIMAH ROAD (BUKIT TIMAH PLANNING AREA)|ON LOT(S) 01062W  & 99566N  MK04 AT 729 BUKIT TIMAH ROAD SINGAPORE 269747,  727 BUKIT TIMAH ROAD SINGAPORE 269746|MR ONG TZE BOON ONG&ONG PTE LTD|ER KONG KAM CHEONG KKC CONSULTANCY SERVICES,ER ANG BOON KIAN ,ER YEO PENG YAM PHILIP SPAN CONSULTANTS|29/09/2014
A1420-01741-2012-BP02|PROPOSED ERECTION OF CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 8 BLOCKS OF 5-STOREY RESIDENTIAL FLATS (TOTAL 260 UNITS) WITH ATTIC, BASEMENT, COMMUNAL FACILITIES AND SWIMMING POOL ON LOT 04317W MK05 AT 19/19A TOH TUCK ROAD (BUKIT TIMAH PLANNING AREA)|ON LOT(S) 04317W  MK05 AT 19/19A TOH TUCK ROAD SINGAPORE 596683|MR RICHARD SOO SIEW MENG ONG&ONG PTE LTD|ER YEO CHOON CHONG MEINHARDT (SINGAPORE) PTE LTD,ER CHEN YUE FENG KTP CONSULTANTS PTE LTD|12/09/2014
A1430-01810-2013-BP01|PROPOSED ERECTION OF 6-STOREY ANNEX BUILDING, ADDITIONS AND ALTERATIONS WORK TO EXISTING DUKE-NUS LEVEL 4,5,7 & 9 ON LOT(S) 4062P  MK01 AT 8 COLLEGE ROAD DUKE-NUS SINGAPORE 169857,  8 COLLEGE ROAD DUKE-NUS SINGAPORE 169857|ON LOT(S) 4062P  MK01 AT 8 COLLEGE ROAD DUKE-NUS SINGAPORE 169857,  8 COLLEGE ROAD DUKE-NUS SINGAPORE 169857|MS TAN KUAN KUAN WENDY ONG & ONG PTE. LTD.|ER PHUA LIAN SOON HAINAL-KONYI (S) PTE LTD,ER LIAU WAI KUN KEON CONSULT PTE LTD, LEE YEE SENG CSTECH CONSULTANTS & ENGRG PTE LTD|16/09/2014
A1430-21963-2013-BP02|PROPOSED ADDITION & ALTERATION TO EXISTING DEVELOPMENT AT 1ST.STOREY VOID DECK OF EXTENSION TO RESIDENT'S COMMITTEE CENTRE AT BLOCK 116 ON LOT(S) 02073K  MK10 AT BUKIT BATOK WEST AVENUE 6|ON LOT(S) 02073K  MK10 AT BUKIT BATOK WEST AVENUE 6|MS TAN KUAN KUAN WENDY ONG&ONG PTE LTD|ER LIM YAN PING SCE CONSULTANTS (PTE)|19/09/2014
A1430-21937-2013-BP01|PROPOSED ADDITION & ALTERATIONS TO EXISTING HDB DEVELOPMENT AT 1ST. STOREY VOID DECK TO NEW EATING HOUSE AND MINIMART AT BLOCK 501A WELLINGTON CIRCLE FOR M/S HOUSING DEVELOPMENT BOARD ON LOT(S) 03684X  MK13 AT 501A WELLINGTON CIRCLE SINGAPORE 751501|ON LOT(S) 03684X  MK13 AT 501A WELLINGTON CIRCLE SINGAPORE 751501|MS TAN KUAN KUAN WENDY ONG&ONG PTE LTD||17/09/2014
A1430-21939-2013-BP01|PROPOSED ADDITION & ALTERATIONS TO EXISTING HDB DEVELOPMENT AT 1ST STOREY VOID DECK TO NEW EATING HOUSE AT BLOCK 204 CHOA CHU KANG AVENUE 1 ON LOT 01099N MUKIM 11 (CHOA CHU KANG PLANNING AREA) FOR M/S HOUSING DEVELOPMENT BOARD|ON LOT(S) 01099N  MK11 AT 204 CHOA CHU KANG AVENUE 1 SINGAPORE 680203|MS TAN KUAN KUAN WENDY ONG&ONG PTE LTD||29/09/2014
A1430-31939-2013-BP01|PROPOSED ADDITION & ALTERATIONS TO EXISTING HDB DEVELOPMENT AT 1ST STOREY VOID DECK TO NEW EATING HOUSE AT BLOCK 467A ADMIRALTY DRIVE ON LOT 03627V MUKIM 13 (SEMBAWANG PLANNING AREA) FOR M/S HOUSING DEVELOPMENT BOARD|ON LOT(S) 03627V  MK13 AT 467A ADMIRALTY DRIVE SINGAPORE 750467|MS TAN KUAN KUAN WENDY ONG&ONG PTE LTD||23/09/2014
A1445-01338-2013-BP02|PROPOSED ERECTION OF A SINGLE-STOREY SINGLE-USER GENERAL INDUSTRIAL DEVELOPMENT WITH TEMPORARY ANCILLARY WORKERS' DORMITORY FOR 14 WORKERS ON LOT 04582X MK 07 AT TUAS SOUTH STREET 8|ON LOT(S) 04582X  MK07 AT 10 TUAS SOUTH STREET 8|MR POH MEOW CHIA ACE ARCHITECTS & ASSOCIATES|ER CHUANG FERN CF CONSULTANTS|09/09/2014
A1450-01305-2013-BP01|PROPOSED ERECTION OF A 2 STOREY DETACHED DWELLING HOUSE WITH A BASEMENT AND A SWIMMING POOL ON LOT99302T MK 15 AT 15 CASSIA DRIVE (BUKIT TIMAH PLANNING AREA)|ON LOT(S) 99302T  MK15 AT 15 CASSIA DRIVE|MR KO SHIOU HEE K2LD ARCHITECTS PTE LTD|ER CHEW KHEK HAN MSE ENGINEERING & MANAGEMENT CONSULTANTS,ER TAY AIK JIUN A.J. INGENIEURS|24/09/2014
A1452-00003-2014-BP01|PROPOSED ADDITION/ALTERATION TO THE EXISTING SINGLE-STOREY DETACHED DWELLING HOUSE  ON LOT(S) 98986N  MK18 AT 5 LUDLOW PLACE|ON LOT(S) 98986N  MK18 AT 5 LUDLOW PLACE|MR EDWARD LAU|ER CHEN GUANGMING CGM ENGINEERING CONSULTANTS|22/09/2014
A1456-00182-2013-BP01|PROPOSED ADDITION & ALTERATION TO EXISTING 2-STOREY SINGLE USER INDUSTRIAL DEVELOPMENT ON LOT(S) 00227C (PLOT A0315800)  MK07 AT 150 GUL CIRCLE|ON LOT(S) 00227C (PLOT A0315800)  MK07 AT 150 GUL CIRCLE|MR LIM JIT K'GOH A + PROJECTS CONSULTANTS|ER LIM CHENG HOCK LIM CHENG HOCK ENGRG & CONSULT SVC|30/09/2014
A1476-00037-2013-BP01|PROPOSED RETENTION OF ADDITIONS AND ALTERATIONS WORKS AND CONTINUED USE OF EXISTING SINGLE STOREY DEVELOPMENT AS VETERINARY CLINIC (TEMPORARY) ON MK17 LOTS 04440K-PT, 05500K AT 232 WHITLEY ROAD, SINGAPORE 297824 (NOVENA PLANNING AREA) ON LOT(S) 04440K  & 05500K  MK17 AT 232 WHITLEY ROAD SINGAPORE 297824|ON LOT(S) 04440K  & 05500K  MK17 AT 232 WHITLEY ROAD SINGAPORE 297824|MR CHIN KIN KEONG ARCHITECTS ETC.|ER ONG CHIN LOCK HCE ENGINEERS PARTNERSHIP|09/09/2014
A1476-00038-2014-BP01|PROPOSED ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT(S) 06220K  MK18 AT 18 TAI HWAN GROVE|ON LOT(S) 06220K  MK18 AT 18 TAI HWAN GROVE|MR CHIN KIN KEONG ARCHITECTS ETC.||15/09/2014
A1469-00001-2014-BP01|PROPOSED ADDITIONS AND ALTERATIONS OF AN EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 01276P MK 26 AT 37B LORONG STANGEE|ON LOT(S) 01276P  MK26 AT 37B LORONG STANGEE SINGAPORE 425014|MS LOO YUEN WAH, JOAN N.A.|ER CHENG PUAY LING JSTAN & ASSOCIATES|18/09/2014
A1479-00013-2013-BP02|PROPOSED ERECTION OF 3 BLOCKS OF 13 TO 16 STOREY AND 9 BLOCKS OF 17 STOREY EXECUTIVE CONDOMINIUM HOUSING DEVELOPMENT (TOTAL 747 UNITS) WITH 2 BASEMENT CARPARKS AND MULTI-STOREY CARPARK, SWIMMING POOL AND COMMUNAL FACILITIES ON LOT 02609T MK 21 AT PUNGGOL|ON LOT(S) 02609T  MK21|MR TONG BIN SIN DP ARCHITECTS PTE LTD|ER SOH LIAN SENG P&T CONSULTANTS PTE LTD,ER LIU XIANMING ERSS CONSULTANTS|16/09/2014
A1479-00002-2012-BP02|PROPOSED 4 STOREY COMMERCIAL DEVELOPMENT WITH 5 BASEMENTS COMPRISING RETAILS, CINEMAS AND CARPARKS ON LOT(S) 04682T  MK20|ON LOT(S) 04682T  MK20|MR TONG BIN SIN DP ARCHITECTS PTE LTD|Mr TAN BOON LEONG BL Tan & Associates Consulting and Structural Engineers,ER YAP KOK CHEONG ,ER KAM MUN WAI MEINHARDT (SINGAPORE) PTE LTD,ER GARY NG WEE GIAP GNG CONSULTING ENGINEERS,ER TAN CHIN HOCK MEINHARDT (SINGAPORE) PTE LTD,ER LIAU WAI KUN KEON CONSULT PTE LTD|16/09/2014
A1482-00001-2013-BP01|PROPOSED INTERIM BUS DEPOT WITH SINGLE STOREY WORKSHOP AND TWO STOREY ANCILLARY FACILITIES AT MUKIM 09 LOT01377L, LOT01379M, LOT01381C PT, LOT01474P PT, LOT01478N PT, LOT01498C PT, LOT01789K PT ON LOT(S) 01377L , 01379M , 01381C , 01474P , 01478N , 01498C  & 01789K  MK09|ON LOT(S) 01377L , 01379M , 01381C , 01474P , 01478N , 01498C  & 01789K  MK09|MR CHOY KAH KIN THE ARCHITECTS CIRCLE PTE LTD|ER YOU FOOK HIN MOTT MACDONALD SINGAPORE PTE LTD|25/09/2014
A1512-00003-2011-BP02|PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING ST JOSEPH'S INSTITUTION JUNIOR SCHOOL INCLUDING ERECTION OF 3-STOREY BLOCK WITH INDOOR SPORT HALL ON LOT(S) 02049A  & 02356M  TS18 AT ESSEX ROAD|ON LOT(S) 02049A  & 02356M  TS18 AT ESSEX ROAD|MS SIAH PUAY LIN JURONG CONSULTANTS PTE LTD|ER YOU FOOK HIN MOTT MACDONALD SINGAPORE PTE LTD|17/09/2014
A1508-00001-2009-BP03|PROPOSED NEW PROPOSED ADDITIONS AND ALTERATIONS AND (EXTENSION TO THE EXISTING ADMIN BLOCK AND CARPARK BLOCK OF SINGAPORE SWIMMING CLUB) ON LOTS 03607T, 03612K, 06238C, 06239M, 07074A, 07076N MK 25 AT 45 TANJONG RHU ROAD.|ON LOT(S) 03607T , 03612K , 06238C , 06239M , 07074A  & 07076N  MK25 AT 45 TANJONG RHU ROAD SINGAPORE 436899|MR CHAN KOK WAY SD ARCHITECTS LLP|ER ONG CHIN LOCK HCE ENGINEERS PARTNERSHIP,ER SIEW KIM CHOI KC SIEW ENGINEERING CONSULTANTS,ER TAN BIN KEONG B K TAN CONSULTANTS, ZHOU TONG QUAN TENWIT CONSULTANTS PTE LTD,ER Loh Khiuk Ling GLT Engineers Pte|30/09/2014
A1525-00002-2014-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING 4-STOREY CLINIC BUILDING WITH ADDITION OF A NEW LIFT AND REPLACEMENT OF EXISTING DROP OFF CANOPY AT LOT 00467K TS22 AT THIRD HOSPITAL AVENUE FOR SINGAPORE GENERAL HOSPITAL (BUKIT MERAH PLANNING AREA) ON LOT(S) 00467K  TS22 AT 11 THIRD HOSPITAL AVENUE SINGAPORE GENERAL HOSPITAL MISTRI WING SINGAPORE 168751,  17 THIRD HOSPITAL AVENUE SINGAPORE GENERAL HOSPITAL MISTRI WING SINGAPORE 168752|ON LOT(S) 00467K  TS22 AT 11 THIRD HOSPITAL AVENUE SINGAPORE GENERAL HOSPITAL MISTRI WING SINGAPORE 168751,  17 THIRD HOSPITAL AVENUE SINGAPORE GENERAL HOSPITAL MISTRI WING SINGAPORE 168752|MR LEE TECK FOO MIKE METAPHOR DESIGN + ARCHITECTURE PTE LTD|ER GOH CHIN KOON GLT ENGINEERS PRIVATE,ER ONG LIAN HUAT DEMACO CONSULTANTS|24/09/2014
A1523-02001-2012-BP03|PROPOSED ERECTION OF A SINGLE-USER INDUSTRIAL DEVELOPMENT COMPRISING A 9-STOREY DATA CENTER WITH ANCILLARY OFFICE AND ANCILLARY BUILDINGS AT WOODLANDS INDUSTRIAL PARK E9 (WOODLANDS PLANNING AREA) ON LOT(S) 1278C , 2147M , 2149V , 3219L , 3221X , 3905C , 3907W , 3908V , 5172C , 5181A , 5188W , 5190M  & 5885C  MK13 AT WOODLANDS INDUSTRIAL PARK E9 SINGAPORE 757834|ON LOT(S) 1278C , 2147M , 2149V , 3219L , 3221X , 3905C , 3907W , 3908V , 5172C , 5181A , 5188W , 5190M  & 5885C  MK13 AT WOODLANDS INDUSTRIAL PARK E9 SINGAPORE 757834|MS LEE CHER HWEE CH2MHILL SINGAPORE CONSULTING PTE LTD|VASHDEV ATMARAM KHIALANI C & V CONSULTANTS LLP,ER FOO CHEANG KAM MM ENGINEERING CONSULTANTS,ER WONG WAI YIN ADVAN-TIS CONSULTANTS LLP,ER LIM CHENG HOCK LIM CHENG HOCK ENGRG & CONSULT SVC,ER LEE HON LEONG LEE CONSULTANTS,ER LAUW SU WEE LSW CONSULTING ENGINEERS PTE LTD,ER YONG DEUNG MING GEOSTRUCT INTERNATIONAL PTE LTD,ER LIAU WAI KUN KEON CONSULT PTE LTD|09/09/2014
A1532-00001-2010-BP02|PROPOSED DEVELOPMENT OF SUNGEI BULOH WETLAND PARK INVOLVING ERECTION OF NEW VISITOR CENTRE & OTHER PARK AMENITIES AT KRANJI WAY, PROPOSED REDEVELOPMENT OF SUNGEI BULOH WETLAND RESERVE INVOLVING A & A WORKS TO EXISTING RESEARCH & EDUCATION CENTRE & OTHER A ON LOT(S) 00836K , 01483T , 03335P , 1485K  & 3336T  MK11, 00868X , 01083K , 01628K , 01775V , 01776P , 1333K  & 1658A  MK12 AT KRANJI WAY,  SUNGEI KADUT DRIVE|ON LOT(S) 00836K , 01483T , 03335P , 1485K  & 3336T  MK11, 00868X , 01083K , 01628K , 01775V , 01776P , 1333K  & 1658A  MK12 AT KRANJI WAY,  SUNGEI KADUT DRIVE|MR LEE HUAI EN EDWIN CPG CONSULTANTS PTE LTD|ER TEO TECK LIONG CPG CONSULTANTS PTE LTD,ER GARY NG WEE GIAP GNG CONSULTING ENGINEERS,ER Feng Tian Ming Kee Fong Engineering Consultants,ER YAN JINTANG CPG CONSULTANTS PTE LTD|01/09/2014
A1533-00012-2013-BP01|PROPOSED RECONTRUCTION OF AN EXISTING 2-STOREY INTERMIATE TERRACE DWELLING HOUSE  WITH NEW ATTIC ON LOT 07275M MK 18 AT 40 TAI HWAN GROVE|ON LOT(S) 07275M  MK18 AT 40 TAI HWAN GROVE|MR LUA KOK LEONG LUA ARCHITECTS ASSOCIATES PTE LTD|ER GOH KHAI SIANG TH CHUAH & PARNNERS LLP|12/09/2014
A1533-00007-2013-BP02|PROPOSED ALTERATIONS/ADDITIONS TO THE EXISTING 2-STOREY CONSERVED BUILDING WITH A ROOF MEZZANINE AND CHANGE OF USE AT 1ST STOREY FROM RETAIL SHOP TO OFFICE ON LOT(S) 994C  TS16 AT 34 UPPER WELD ROAD SINGAPORE 207391|ON LOT(S) 994C  TS16 AT 34 UPPER WELD ROAD SINGAPORE 207391|MR LUA KOK LEONG|ER Wu Ruixin WRX Consultants|03/09/2014
A1533-00020-2012-BP02|PROPOSED NEW ERECTION OF A 3-STOREY DETACHED DWELLING HOUSE WITH A SWIMMING POOL ON LOT 00320K MK 27 AT 4 SENNETT LANE|ON LOT(S) 00320K  MK27 AT 4 SENNETT LANE SINGAPORE 466892|MR LUA KOK LEONG LUA ARCHITECTS ASSOCIATES PTE LTD|ZHOU TONG QUAN TENWIT CONSULTANTS PTE LTD,ER Feng Tian Ming Kee Fong Engineering Consultants|24/09/2014
A1533-00020-2013-BP01|PROPOSED RECONSTRUCTION TO AN EXISTING 3 STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH A NEW ATTIC ON LOT(S) 06240  MK05 AT 50 HIGHGATE CRESCENT SINGAPORE 598831|ON LOT(S) 06240  MK05 AT 50 HIGHGATE CRESCENT SINGAPORE 598831|MR LUA KOK LEONG LUA ARCHITECTS ASSOCIATES|Mr ANG CHOON KEAT PROSTRUCT CONSULTING PTE LTD|04/09/2014
A1536-00008-2013-BP01|PROPOSED CONSTRUCTION OF NEW FENCE AND OTHER WORKS AT MARINA SOUTH WHARVES ON LOT(S) 00320X  & 00322C  TS30 AT 71 MARINA COASTAL DRIVE|ON LOT(S) 00320X  & 00322C  TS30 AT 71 MARINA COASTAL DRIVE|MR TEO NGUI WAH VICTOR MATAPHOR DESIGN + ARCHITECTURE PTE LTD|ER YONG DEUNG MING GEOSTRUCT INTERNATIONAL PTE LTD|18/09/2014
A1535-10002-2014-BP01|PROPOSED ALTERATIONS/ADDITIONS AND CHANGES OF USE OF PART OF EXISTING 2ND AND 3RD STOREY CIRCULATION SPACE TO RETAIL SPACE (FOR A BEAUTY DUPLEX SHOP) AT THE DEPARTURE/TRANSIT CENTRAL OF SINGAPORE CHANGI AIRPORT TERMINAL 3 ON LOT 04594L PT MK 31  AT 65 AIRPORT BOULEVARD|AT 65 AIRPORT BOULEVARD #02-35 CHANGI AIRPORT TERMINAL 3 SINGAPORE 819663,  65 AIRPORT BOULEVARD #03-06B CHANGI AIRPORT TERMINAL 3 SINGAPORE 819663|MS TAN CHEE CHEE, CHERYL CKA CONSULTANTS|ER NG CHONG SOON CSA ENGINEERS|19/09/2014
A1553-00310-2011-BP03|PROPOSED ERECTION OF 5-STOREY RESIDENTIAL FLATS (TOTAL 75 UNITS) WITH BASEMENT AND SWIMMING POOL ON LOT(S) 00323P , 749M , 750L , 99989T , 99990V , 99991P , 99992T , 99993A , 99994K , 99995N , 99996X  & 99997L  TS19 AT 108A SOPHIA ROAD SINGAPORE 228174,  120 SOPHIA ROAD SINGAPORE 228180,  122 SOPHIA ROAD SINGAPORE 228181,  112 SOPHIA ROAD SINGAPORE 228176,  118 SOPHIA ROAD SINGAPORE 228179,  114 SOPHIA ROAD SINGAPORE 228177,  110 SOPHIA ROAD SINGAPORE 228175,  126 SOPHIA ROAD SINGAPORE 228183,  124 SOPHIA ROAD SINGAPORE 228182,  116 SOPHIA ROAD SINGAPORE 228178|ON LOT(S) 00323P , 749M , 750L , 99989T , 99990V , 99991P , 99992T , 99993A , 99994K , 99995N , 99996X  & 99997L  TS19 AT 108A SOPHIA ROAD SINGAPORE 228174,  120 SOPHIA ROAD SINGAPORE 228180,  122 SOPHIA ROAD SINGAPORE 228181,  112 SOPHIA ROAD SINGAPORE 228176,  118 SOPHIA ROAD SINGAPORE 228179,  114 SOPHIA ROAD SINGAPORE 228177,  110 SOPHIA ROAD SINGAPORE 228175,  126 SOPHIA ROAD SINGAPORE 228183,  124 SOPHIA ROAD SINGAPORE 228182,  116 SOPHIA ROAD SINGAPORE 228178|MR LIM KOON PARK PARK + ASSOCIATES PTE LTD|ER LOOI POH YUN P.P. PROJECT CONSULTANTS,ER TEO KOK JIN KTP CONSULTANTS PTE LTD,ER GARY NG WEE GIAP GNG CONSULTING ENGINEERS|22/09/2014
A1572-10211-2010-BP03|PROPOSED NEW ERECTION OF 1 UNIT OF 3-STOREY DETACHED HOUSE WITH A SWIMMING POOL ON LOT(S) (FORMERLY KNOWN AS LOT 02191L) , 02190X  & 09516L  MK22 AT 107J HIGHLAND ROAD|ON LOT(S) (FORMERLY KNOWN AS LOT 02191L) , 02190X  & 09516L  MK22 AT 107J HIGHLAND ROAD|MR TAN TEK-MIN, MINK MINK ARCHITECTS|ER CHOW GEE YEONG THE ENGINEERS COLLABORATIVE LLP,ER ANG TIEN SIN KTP CONSULTANTS PTE LTD,ER CHEN YUE FENG KTP CONSULTANTS PTE LTD|29/09/2014
A1578-00011-2012-BP01|PROPOSED ERECTION OF A 3-STOREY SUBSTATION AND SINGLE-STOREY PUMPHOUSE WITH UNDERGROUND STORAGE TANK  ON LOT(S) 04594L  MK31 AT 21 AIRPORT BOULEVARD SINGAPORE 819660|ON LOT(S) 04594L  MK31 AT 21 AIRPORT BOULEVARD SINGAPORE 819660|MS ANG MAE-LI SURBANA INTERNATIONAL CONSULTANTS PTE LTD|LAU TUNG NGIU DPC CONSULTING ENGINEERS,ER LEE LEONG HOW|17/09/2014
A1578-00005-2013-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT BLOCKS 317 TO 328 & 322A WITH NEW CONSUMER SWITCH ROOMS & NEW ELECTRICAL SUBSTATIONS AT JURONG EAST AVENUE 1 / STREET 31 (HOME IMPROVEMENT PROGRAMME) ON LOT(S) 04240N , 04241X , 04242L , 04243C , 04244M , 04254N , 04255X , 04256L , 05080K , 05081N , 05082X , 05083L , 05088P , 05090V , 05091P , 05092T , 05093A , 05096X , 07490X , 07492C , 08109A , 08467P , 08468T  & 08642M  MK05 AT 317TO328 JURONG EAST STREET 31,  322A JURONG EAST STREET 31|ON LOT(S) 04240N , 04241X , 04242L , 04243C , 04244M , 04254N , 04255X , 04256L , 05080K , 05081N , 05082X , 05083L , 05088P , 05090V , 05091P , 05092T , 05093A , 05096X , 07490X , 07492C , 08109A , 08467P , 08468T  & 08642M  MK05 AT 317TO328 JURONG EAST STREET 31,  322A JURONG EAST STREET 31|MS ANG MAE-LI SURBANA INTERNATIONAL CONSULTANTS PTE LTD|ER Lee Chee Weye Surbana Consultants Pte Ltd|17/09/2014
A1578-00006-2013-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT BLOCKS 343 TO 346 & 348 TO 353 WITH NEW CONSUMER SWITCH ROOMS & NEW ELECTRICAL SUBSTATION AT JURONG EAST AVENUE 1 / STREET 31 (HOME IMPROVEMENT PROGRMME) ON LOT(S) 04791K , 04792N , 04793X , 04794L , 04804L , 04805C , 04806M , 06061V , 06062P , 06063T , 06064A , 06065K , 06327T , 06488M , 08112A  & 08113K  MK05|ON LOT(S) 04791K , 04792N , 04793X , 04794L , 04804L , 04805C , 04806M , 06061V , 06062P , 06063T , 06064A , 06065K , 06327T , 06488M , 08112A  & 08113K  MK05|MS ANG MAE-LI SURBANA INTERNATIONAL CONSULTANTS PTE LTD|ER Lee Chee Weye Surbana Consultants Pte Ltd|18/09/2014
A1595-00168-2013-BP02|PROPOSED RECONSTRUCTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE TO A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 02129A MK 26 AT 28 DUKU LANE|ON LOT(S) 02129A  MK26 AT 28 DUKU LANE SINGAPORE 429330|MR LOW CHENG HAI, EDMUND ALTODESIGN ARCHITECTS|ER TANG ING HUA ASTON CONSULTING ENGINEERS|12/09/2014
A1593-00062-2012-BP02|PROPOSED 2-STOREY TERRACE HOUSE WITH ATTIC AND BASEMENT ON LOT 00438A MK18 AT 9 CASUARINA ROAD|ON LOT(S) 00438A  MK18 AT 9 CASUARINA ROAD SINGAPORE 579398|MR LIM KHENG JIN EPIC DESIGN ARCHITECTS|ER Tan Hock Lye HL Civil & Structural Consultant|11/09/2014
